lat,long,commonID,samplingProgram
47.10866,-84.358,Dick_1,BsM
49.82976,-87.5004,Dilla_1,BsM
49.62051,-92.56305,Dinorwic_1,BsM
45.53377,-79.41413,Doe_1,BsM
48.77812,-89.51281,Dog_1,BsM
44.4302,-76.33444,Dog_2,BsM
49.36962,-93.90523,Dogpaw_1,BsM
49.69869,-94.15775,Dogtooth_1,BsM
46.79829,-80.51028,Donald_1,BsM
45.46152,-78.99156,Dotty_1,BsM
48.87992,-92.0409,Dovetail_1,BsM
50.62006,-94.71704,Dowswell_1,BsM
45.07432,-78.41081,Drag_1,BsM
46.98242,-79.87887,Driftwood_1,BsM
49.54722,-93.85008,Dryberry_1,BsM
47.87667,-81.08547,Dumbell_1,BsM
45.58689,-79.04685,Dunstan_1,BsM
46.72117,-83.05211,Duval_1,BsM
45.83223,-79.50188,Eagle_2,BsM
44.68298,-76.69865,Eagle_3,BsM
47.82228,-84.68512,Ear_1,BsM
54.52068,-92.24003,Echoing_1,BsM
49.9464,-93.55602,Edward_1,BsM
44.89509,-78.13984,Eels_1,BsM
50.1298,-87.7934,Elbow_1,BsM
48.6909,-88.73401,Elbow_2,BsM
44.62754,-76.72439,Elbow_3,BsM
48.14412,-85.38996,Ellen_1,BsM
49.00154,-92.41658,Eltrut_1,BsM
46.9159,-80.32312,Emerald_1,BsM
49.71999,-90.24726,Empire_1,BsM
46.59111,-83.03067,Endikai_1,BsM
49.13684,-92.68273,Entwine_1,BsM
48.71744,-91.15971,Eva_1,BsM
50.34437,-91.77352,Expanse_1,BsM
48.70208,-92.0698,Factor_1,BsM
43.05847,-81.17886,Fanshawe_1,BsM
44.81714,-79.97121,Farlain_1,BsM
49.91841,-86.05307,Fernow_1,BsM
48.9101,-91.58889,Finlayson_1,BsM
50.61813,-90.53714,Fitchie_1,BsM
47.28889,-83.17746,Flame_1,BsM
50.42908,-94.48032,Fletcher_1,BsM
45.35355,-78.78435,Fletcher_2,BsM
48.1212,-83.31097,Floranna_1,BsM
47.2431,-80.55819,Florence_1,BsM
49.84431,-91.57267,Flying Loon_1,BsM
50.22294,-90.43085,Fog_1,BsM
48.6048,-81.89708,Fortune_1,BsM
45.24977,-77.67526,Fosters_1,BsM
44.68172,-78.73724,Four Mile_1,BsM
44.59153,-76.7891,Fourth Depot_1,BsM
50.16218,-87.90603,Frank_1,BsM
48.66063,-80.93786,Frederick House_1,BsM
47.65757,-84.76551,Gamitagama_1,BsM
49.51785,-87.18172,Gamsby_1,BsM
46.76463,-83.70654,Garden_1,BsM
47.10214,-84.01306,Gavor_1,BsM
46.53217,-82.4864,Geiger_1,BsM
50.0521,-91.07599,Gibraltar_1,BsM
45.20467,-81.33557,Gillies_1,BsM
45.71367,-80.50404,Giroux_1,BsM
49.60903,-92.76425,Godson_1,BsM
45.57388,-77.33611,Golden_1,BsM
47.07006,-83.53602,Gong_1,BsM
45.25505,-78.64918,Goodwin_1,BsM
49.89387,-93.70945,Gordon_1,BsM
47.16373,-83.67077,Goulais_1,BsM
44.59698,-81.19684,Gould_1,BsM
45.13314,-76.79515,Govan_1,BsM
47.1448,-83.81865,Graham_1,BsM
50.46972,-89.76793,Granite_1,BsM
50.95093,-90.10466,Greenbush_1,BsM
48.57454,-90.42999,Greenwater_1,BsM
48.41068,-90.77609,Greenwood_1,BsM
49.40645,-90.12211,Grew_1,BsM
49.0294,-92.07951,Grey Trout_1,BsM
48.54321,-90.54489,Grouse_1,BsM
49.75797,-82.36108,Guilfoyle_1,BsM
47.22479,-83.63434,Gull_1,BsM
50.96114,-93.64489,Gullrock_1,BsM
49.91183,-92.60645,Gullwing_1,BsM
45.92921,-80.54408,Gurd_1,BsM
49.10397,-84.69439,Haken_1,BsM
44.46818,-76.68347,Hambly_1,BsM
50.86908,-90.43634,Hamilton_1,BsM
47.11457,-83.88482,Hanes_1,BsM
46.81988,-79.88986,Hangstone_1,BsM
47.97112,-82.14951,Hardiman_1,BsM
49.94546,-90.21669,Harmon_1,BsM
49.59089,-80.82037,Harris_1,BsM
49.74941,-92.45084,Hartman_1,BsM
49.76759,-93.99944,Hawk_1,BsM
48.68599,-89.45228,Hawkeye_1,BsM
44.74018,-78.91265,Head_1,BsM
50.28283,-90.38144,Heathcote_1,BsM
47.01777,-81.0952,Helen_1,BsM
48.93116,-92.67054,Heron_1,BsM
49.51536,-85.0119,Hiawatha_1,BsM
50.35053,-91.51247,Hik_1,BsM
49.65403,-89.68153,Holinshead_1,BsM
49.43642,-90.08177,Holly_1,BsM
49.34622,-91.84931,Horseshoe_1,BsM
47.96766,-82.32184,Horwood_1,BsM
49.41618,-80.71877,Humestone_1,BsM
48.03561,-81.60093,Indian_1,BsM
47.12966,-82.1271,Indian_2,BsM
49.54834,-91.66632,Indian_3,BsM
49.1255,-91.60496,Irene_1,BsM
