commonID,lat,long,samplingProgram,secchiDepth,maxDepth,yearSample,DOC,TDP,scaled_yearSample,scaled_secchi,scaled_maxDepth
Holly_1,49.43642,-90.08177,BsM,2.5,10,2018,6.599,8.5,17.9328125,-1.052297247,-19.55848958
Jolly_1,49.16785,-89.45932,BsM,1.8,5,2018,10.5,14.8,17.9328125,-1.752297247,-24.55848958
Kashabowie_1,48.71886,-90.39423,BsM,2.7,35,2018,7.9,11,17.9328125,-0.852297247,5.441510417
Kearns_1,49.50753,-90.01676,BsM,2.1,15.3,2018,8.4,13.6,17.9328125,-1.452297247,-14.25848958
Maggotte_1,50.10119,-89.46517,BsM,1.9,24,2018,11.199,11.199,17.9328125,-1.652297247,-5.558489583
Northern Light_1,48.24446,-90.6759,BsM,1.9,39.7,2018,11,13.199,17.9328125,-1.652297247,10.14151042
Obonga_1,49.97411,-89.3113,BsM,3.2,71.7,2018,7.799,6.2,17.9328125,-0.352297247,42.14151042
Pakashkan_1,49.39128,-90.27892,BsM,2.7,21.4,2018,5.9,9.5,17.9328125,-0.852297247,-8.158489583
Purdom_1,49.15261,-88.4217,BsM,2.1,8.2,2018,10.1,12.5,17.9328125,-1.452297247,-21.35848958
Sandstone_1,48.23175,-90.24029,BsM,3.2,23.8,2018,6.599,7.299,17.9328125,-0.352297247,-5.758489583
Sparkling_1,49.81424,-90.17712,BsM,1.7,30.5,2018,8.699,8.4,17.9328125,-1.852297247,0.941510417
Titmarsh_1,48.35538,-90.52995,BsM,4.6,49.4,2018,6.5,4.7,17.9328125,1.047702753,19.84151042
Walotka_1,49.04481,-89.07437,BsM,3,23,2018,6.099,4.4,17.9328125,-0.552297247,-6.558489583
Waweig_1,50.12945,-89.09663,BsM,4.2,42.7,2018,4.799,6.099,17.9328125,0.647702753,13.14151042
Whitefish_3,48.22119,-90.00085,BsM,2.6,6.4,2018,3.7,11.8,17.9328125,-0.952297247,-23.15848958
Catlonite_1,49.17841,-87.00698,BsM,1.8,35.1,2021,13.5,8.57,20.9328125,-1.752297247,5.541510417
Kenogamisis_1,49.70602,-86.85844,BsM,1,9.2,2018,11.199,15.1,17.9328125,-2.552297247,-20.35848958
Shamattawa_1,54.18624,-85.68382,BsM,1.2,7.2,2012,15.2,11.5,11.9328125,-2.352297247,-22.35848958
Spruce_1,54.33456,-85.01359,BsM,2,16,2012,7.8,9.5,11.9328125,-1.552297247,-13.55848958
Bittern_1,48.45849,-83.25316,BsM,4,18.9,2012,6.6,19.4,11.9328125,0.447702753,-10.65848958
Cameron_1,49.0175,-84.27477,BsM,2.4,6.4,2011,7.9,10.7,10.9328125,-1.152297247,-23.15848958
Como_1,47.91648,-83.5157,BsM,5.5,26,2011,7.1,6.1,10.9328125,1.947702753,-3.558489583
Dayohessarah_1,48.78119,-85.02995,BsM,5.3,26.6,2012,5.4,9.7,11.9328125,1.747702753,-2.958489583
Ellen_1,48.14412,-85.38996,BsM,2.2,57.6,2012,9.4,5.7,11.9328125,-1.352297247,28.04151042
Haken_1,49.10397,-84.69439,BsM,3.1,12.2,2011,7.9,8.3,10.9328125,-0.452297247,-17.35848958
Hiawatha_1,49.51536,-85.0119,BsM,3.5,11,2011,9.5,8.1,10.9328125,-0.052297247,-18.55848958
Jackfish_1,47.99953,-85.58941,BsM,2.7,25,2012,7.9,5.3,11.9328125,-0.852297247,-4.558489583
Kwinkwaga_1,48.80786,-85.33219,BsM,4.3,36.6,2011,7.6,11,10.9328125,0.747702753,7.041510417
Lena_1,48.05118,-84.683,BsM,5.9,38.1,2012,3.7,4.3,11.9328125,2.347702753,8.541510417
Missinaibi_1,48.35674,-83.69128,BsM,3.5,94,2011,9.7,6.9,10.9328125,-0.052297247,64.44151042
Nagagami_1,49.42202,-85.0419,BsM,2.5,27.5,2011,9.3,9,10.9328125,-1.052297247,-2.058489583
Nagagamisis_1,49.47731,-84.65717,BsM,4.2,8.2,2011,6.5,11.4,10.9328125,0.647702753,-21.35848958
Nameigos_1,48.78398,-84.70585,BsM,1.5,4,2011,9.6,11.6,10.9328125,-2.052297247,-25.55848958
North McCrea_1,48.39452,-85.48552,BsM,4,15.9,2012,8,7.8,11.9328125,0.447702753,-13.65848958
Placid_1,49.02703,-84.83384,BsM,3,10,2011,4.4,11.2,10.9328125,-0.552297247,-19.55848958
Shekak_1,49.09008,-85.08496,BsM,2.9,14.6,2011,8.3,10.9,10.9328125,-0.652297247,-14.95848958
South Greenhill_1,48.45508,-83.88685,BsM,1.7,7,2012,13.8,13.6,11.9328125,-1.852297247,-22.55848958
Strickland_1,48.74758,-84.96384,BsM,4.3,32.1,2012,7.9,8.8,11.9328125,0.747702753,2.541510417
Tocheri_1,49.05147,-85.15469,BsM,2.5,4.6,2011,8.4,11.6,10.9328125,-1.052297247,-24.95848958
Wawa_1,48.01285,-84.72161,BsM,6.3,32.9,2012,3.6,3.8,11.9328125,2.747702753,3.341510417
West Kabenung_1,48.2603,-85.04903,BsM,1.4,18.3,2011,11.9,10.2,10.9328125,-2.152297247,-11.25848958
White_1,48.78835,-85.61725,BsM,4.3,48.8,2011,9.2,15.3,10.9328125,0.747702753,19.24151042
White Otter_1,49.4723,-85.54923,BsM,2.3,9.8,2011,9.7,10.6,10.9328125,-1.252297247,-19.75848958
Abitibi_1,48.65805,-79.84475,BsM,0.3,15.3,2008,11.8,45.9,7.9328125,-3.252297247,-14.25848958
Borden_1,47.82327,-83.29694,BsM,5.7,45.8,2010,4.1,6.4,9.9328125,2.147702753,16.24151042
Brunswick_1,48.98722,-83.38942,BsM,2,12.2,2008,16.3,11.1,7.9328125,-1.552297247,-17.35848958
Carty_1,48.16538,-82.70049,BsM,3.2,16,2010,12.3,10.4,9.9328125,-0.352297247,-13.55848958
Dumbell_1,47.87667,-81.08547,BsM,3.2,10,2008,8.6,8.8,7.9328125,-0.352297247,-19.55848958
Fortune_1,48.6048,-81.89708,BsM,5.5,17.4,2008,4.6,6.7,7.9328125,1.947702753,-12.15848958
Frederick House_1,48.66063,-80.93786,BsM,0.6,17.4,2008,13.7,45.9,7.9328125,-2.952297247,-12.15848958
Guilfoyle_1,49.75797,-82.36108,BsM,3.3,8,2008,8.7,12.9,7.9328125,-0.252297247,-21.55848958
Hardiman_1,47.97112,-82.14951,BsM,3.2,12,2008,6.2,7.3,7.9328125,-0.352297247,-17.55848958
Horwood_1,47.96766,-82.32184,BsM,1.3,50.7,2008,11.9,10.7,7.9328125,-2.252297247,21.14151042
Humestone_1,49.41618,-80.71877,BsM,2.1,3.7,2008,16.8,16.6,7.9328125,-1.452297247,-25.85848958
Indian_1,48.03561,-81.60093,BsM,2.5,11,2008,11.6,10.1,7.9328125,-1.052297247,-18.55848958
Ivanhoe_1,48.08286,-82.62678,BsM,2.3,24,2009,8.9,9.8,8.9328125,-1.252297247,-5.558489583
Kapuskasing_1,48.4837,-82.94457,BsM,1.3,11,2010,10.6,18.9,9.9328125,-2.252297247,-18.55848958
Katagi_1,47.90867,-81.96916,BsM,2.2,18,2008,13.1,9.4,7.9328125,-1.352297247,-11.55848958
Kenogamissi_1,48.24057,-81.52985,BsM,2,26.2,2008,9.9,9.8,7.9328125,-1.552297247,-3.358489583
Kesagami_1,50.32589,-80.24009,BsM,1.2,7.5,2008,11.6,11.4,7.9328125,-2.352297247,-22.05848958
Larder_1,48.08541,-79.64223,BsM,2.9,33.5,2008,5.8,8.2,7.9328125,-0.652297247,3.941510417
Lawagamau_1,49.83328,-80.07989,BsM,1.4,6,2008,15,10.7,7.9328125,-2.152297247,-23.55848958
Little Abitibi_1,49.4068,-80.54886,BsM,1.5,14,2008,14.8,11.9,7.9328125,-2.052297247,-15.55848958
Little Kesagami_1,49.74674,-80.27486,BsM,2.2,18,2008,8.6,9.9,7.9328125,-1.352297247,-11.55848958
Lower Minnipuka_1,48.8965,-83.79523,BsM,2.5,5.8,2011,13.8,11.1,10.9328125,-1.052297247,-23.75848958
Makami_1,47.73095,-81.84357,BsM,2.5,14,2008,11.7,7.1,7.9328125,-1.052297247,-15.55848958
Mesomikenda_1,47.64812,-81.87872,BsM,4,71.4,2010,7.3,6.1,9.9328125,0.447702753,41.84151042
Mistinikon_1,47.96607,-80.73921,BsM,2.2,36.6,2008,10.4,9.2,7.9328125,-1.352297247,7.041510417
Montreuil_1,49.55267,-80.79031,BsM,1.5,22,2008,15.7,13,7.9328125,-2.052297247,-7.558489583
Nemegosenda_1,48.0062,-83.11013,BsM,4,93,2010,8.4,6.2,9.9328125,0.447702753,63.44151042
Night Hawk_1,48.45682,-80.98027,BsM,0.3,4.6,2008,13.7,32.9,7.9328125,-3.252297247,-24.95848958
Oke_1,48.9373,-81.87845,BsM,1,2,2008,20.5,15.9,7.9328125,-2.552297247,-27.55848958
Opasatika_1,49.06794,-83.13713,BsM,2.3,9.1,2008,12.4,15.9,7.9328125,-1.252297247,-20.45848958
Pierre_1,49.50777,-80.71202,BsM,1.3,21,2008,15,12.1,7.9328125,-2.252297247,-8.558489583
Radisson_1,48.21258,-80.75526,BsM,3.4,51.8,2008,4.8,4,7.9328125,-0.152297247,22.24151042
Raven_1,48.05196,-79.55023,BsM,2.4,46.9,2008,6.7,7.4,7.9328125,-1.152297247,17.34151042
Remi_1,49.42346,-82.17586,BsM,4,15,2008,9.1,12.5,7.9328125,0.447702753,-14.55848958
Rice_1,47.70129,-82.1231,BsM,2.5,11.5,2009,8.5,11.8,8.9328125,-1.052297247,-18.05848958
Rollo_1,47.88286,-82.64873,BsM,5.9,53,2009,6.9,7.2,8.9328125,2.347702753,23.44151042
Round_1,48.01448,-80.0419,BsM,2.1,36,2008,9.1,24.1,7.9328125,-1.452297247,6.441510417
Rush_1,47.79333,-82.19307,BsM,2.5,36,2008,10.7,11.8,7.9328125,-1.052297247,6.441510417
