lakeName,latARU_conv,latBsM,longARU_conv,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID,latARU,longARU,latM_aru,latS_aru,latDirection,lonD_aru,lonM_aru,lonS_aru,lonDirection
Bass,45.10805555555556,44.60345,-79.69833333333334,-79.50664,45,0,6,44,6,0,79,4,1,79,5,0,17-6024-49956,17-6187-49397,450629,794154,6,29,N,79,41,54,W
Bass,46.221111111111114,45.89079,-82.89805555555556,-81.94665,46,1,3,45,8,9,82,5,3,81,9,4,17-3536-51201,17-4263-50813,461316,825353,13,16,N,82,53,53,W
Bass,46.221111111111114,44.60345,-82.89805555555556,-79.50664,46,1,3,44,6,0,82,5,3,79,5,0,17-3536-51201,17-6187-49397,461316,825353,13,16,N,82,53,53,W
Bass,46.1225,45.89079,-79.79972222222221,-81.94665,46,0,7,45,8,9,79,4,7,81,9,4,17-5927-51081,17-4263-50813,460721,794759,7,21,N,79,47,59,W
Bass,46.1225,44.60345,-79.79972222222221,-79.50664,46,0,7,44,6,0,79,4,7,79,5,0,17-5927-51081,17-6187-49397,460721,794759,7,21,N,79,47,59,W
Bass,47.35916666666667,45.89079,-79.71777777777778,-81.94665,47,2,1,45,8,9,79,4,3,81,9,4,17-5968-52457,17-4263-50813,472133,794304,21,33,N,79,43,4,W
Bass,47.35916666666667,44.60345,-79.71777777777778,-79.50664,47,2,1,44,6,0,79,4,3,79,5,0,17-5968-52457,17-6187-49397,472133,794304,21,33,N,79,43,4,W
Bass,48.656666666666666,45.89079,-88.73555555555555,-81.94665,48,3,9,45,8,9,88,4,4,81,9,4,16-3722-53905,17-4263-50813,483924,884408,39,24,N,88,44,8,W
Bass,48.656666666666666,44.60345,-88.73555555555555,-79.50664,48,3,9,44,6,0,88,4,4,79,5,0,16-3722-53905,17-6187-49397,483924,884408,39,24,N,88,44,8,W
Bass,NA,45.89079,NA,-81.94665,NA,NA,NA,45,8,9,NA,NA,NA,81,9,4,17-4719-52331,17-4263-50813,NA,NA,NA,NA,N,NA,NA,NA,W
Bass,NA,44.60345,NA,-79.50664,NA,NA,NA,44,6,0,NA,NA,NA,79,5,0,17-4719-52331,17-6187-49397,NA,NA,NA,NA,N,NA,NA,NA,W
Bass,NA,45.89079,NA,-81.94665,NA,NA,NA,45,8,9,NA,NA,NA,81,9,4,18-3580-49555,17-4263-50813,NA,NA,NA,NA,N,NA,NA,NA,W
Bass,NA,44.60345,NA,-79.50664,NA,NA,NA,44,6,0,NA,NA,NA,79,5,0,18-3580-49555,17-6187-49397,NA,NA,NA,NA,N,NA,NA,NA,W
Basswood,NA,46.33314,NA,-83.39658,NA,NA,NA,46,3,3,NA,NA,NA,83,3,9,17-3164-51328,17-3164-51328,NA,NA,NA,NA,N,NA,NA,NA,W
Batwing,48.44,48.44209,-90.17277777777778,-90.17355,48,2,6,48,4,4,90,1,0,90,1,7,15-7091-53689,15-7091-53688,482624,901022,26,24,N,90,10,22,W
Bawden,49.99055555555556,49.99869,-91.58944444444444,-91.58399,49,5,9,49,9,9,91,3,5,91,5,8,15-6011-55383,15-6011-55383,495926,913522,59,26,N,91,35,22,W
Bay,45.02361111111111,46.42728,-77.85666666666665,-82.9196,45,0,1,46,4,2,77,5,1,82,9,1,18-2749-49893,17-3525-51431,450125,775124,1,25,N,77,51,24,W
Bay,45.02361111111111,47.34738,-77.85666666666665,-79.83923,45,0,1,47,3,4,77,5,1,79,8,3,18-2749-49893,17-5880-52436,450125,775124,1,25,N,77,51,24,W
Bay,45.50555555555555,46.42728,-79.20805555555556,-82.9196,45,3,0,46,4,2,79,1,2,82,9,1,17-6400-50405,17-3525-51431,453020,791229,30,20,N,79,12,29,W
Bay,45.50555555555555,47.34738,-79.20805555555556,-79.83923,45,3,0,47,3,4,79,1,2,79,8,3,17-6400-50405,17-5880-52436,453020,791229,30,20,N,79,12,29,W
Bay,46.42722222222222,46.42728,-82.91972222222223,-82.9196,46,2,5,46,4,2,82,5,5,82,9,1,17-3525-51431,17-3525-51431,462538,825511,25,38,N,82,55,11,W
Bay,46.42722222222222,47.34738,-82.91972222222223,-79.83923,46,2,5,47,3,4,82,5,5,79,8,3,17-3525-51431,17-5880-52436,462538,825511,25,38,N,82,55,11,W
Bay,47.34166666666667,46.42728,-79.83527777777778,-82.9196,47,2,0,46,4,2,79,5,0,82,9,1,17-5880-52436,17-3525-51431,472030,795007,20,30,N,79,50,7,W
Bay,47.34166666666667,47.34738,-79.83527777777778,-79.83923,47,2,0,47,3,4,79,5,0,79,8,3,17-5880-52436,17-5880-52436,472030,795007,20,30,N,79,50,7,W
Bay,49.60444444444445,46.42728,-82.32472222222222,-82.9196,49,3,6,46,4,2,82,1,9,82,9,1,17-4043-54953,17-3525-51431,493616,821929,36,16,N,82,19,29,W
Bay,49.60444444444445,47.34738,-82.32472222222222,-79.83923,49,3,6,47,3,4,82,1,9,79,8,3,17-4043-54953,17-5880-52436,493616,821929,36,16,N,82,19,29,W
Beak,47.2075,47.21363,-83.15222222222222,-83.14591,47,1,2,47,2,1,83,0,9,83,1,4,17-3370-52303,17-3370-52303,471227,830908,12,27,N,83,9,8,W
Beak,49.28138888888889,47.21363,-92.25472222222223,-83.14591,49,1,6,47,2,1,92,1,5,83,1,4,15-5542-54588,17-3370-52303,491653,921517,16,53,N,92,15,17,W
Bear,44.49583333333334,46.18806,-76.49944444444445,-81.44897,44,2,9,46,1,8,76,2,9,81,4,4,18-3808-49278,17-4652-51149,442945,762958,29,45,N,76,29,58,W
Bear,44.49583333333334,46.3314,-76.49944444444445,-80.25596,44,2,9,46,3,3,76,2,9,80,2,5,18-3808-49278,17-5577-51311,442945,762958,29,45,N,76,29,58,W
Bear,44.56194444444444,46.18806,-76.48611111111111,-81.44897,44,3,3,46,1,8,76,2,9,81,4,4,18-3820-49351,17-4652-51149,443343,762910,33,43,N,76,29,10,W
Bear,44.56194444444444,46.3314,-76.48611111111111,-80.25596,44,3,3,46,3,3,76,2,9,80,2,5,18-3820-49351,17-5577-51311,443343,762910,33,43,N,76,29,10,W
