BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio,commonID,F0,FOFWBY,WBY,WBY2,ARU,ARU_NM,ARU_LID,LATITUDE,LONGITUDE,WSHED,GEOTWP,GEOTWP_NM,SRFAREA,PERIM,ISL,DEPMN,LIT_PC,ELEV,GDD,TDS,MEI,CROWN_PC,RSRT_CNT,COTT_CNT,FCT,SPECIES,SPC_080,SPC_081,SPC_091,SPC_093,SPC_131,SPC_132,SPC_316,SPC_331,SPC_332,SPC_334,latDirection,lonDirection,logTP,TP,lakeTrophicStatus,scaled_yearSample,scaled_secchi,scaled_maxDepth,samplingProgram,secchi_fit,secchi_fitWRand,rowID,updatedDOC,DOC_fit,DOC_fitWRandom
3,4,Greenbush L.,15-7043-56488,2.1,2926.6,60282599.31,10,2.1,50.95093,-90.10466,2021,41.399,7.509,63.6,29.6,9.38,2.009,0.395,0.4,0.16,0.55,0.4,80,5.799,10.4,30,110,366,7.099,NA,NA,Greenbush_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,-1.3416001637757526,-19.565919749869725,BsM,3.073276542041572,2.8841406001224397,21,10.4,6.552172285355361,10.112271176437343
3,4,Gullrock L.,15-4567-56470,1.7,6867.3,522948998.1,16,7.6,50.96114,-93.64489,2019,41.299,7.4,75.299,25.8,9.019,2.169,2.089,0.835,2.259,5.25,1.8,60,5.679,9.8,56,2,370,20.6,NA,NA,Gullrock_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.7416001637757528,-13.565919749869725,BsM,3.077620449528686,2.0568852211874553,22,9.8,6.550932609740408,9.90303244101563
3,4,Hartman L.,15-5396-55107,3.5,517.6,21239399.55,8.2,4.2,49.74941,-92.45084,2019,9.189,7.61,133,36.899,12,2.79,9,0.935,15.1,2.049,0.36,20,8.419,4.9,30,2,354,10.6,NA,NA,Hartman_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,0.05839983622424727,-21.365919749869725,BsM,3.077620449528686,2.9408879277799067,23,4.9,6.550932609740408,5.376259045386348
3,4,Indian L.,15-5965-54891,2.1,4000.1,372503189.5,36,9.4,49.54834,-91.66632,2019,24.6,7.339,63.299,22.6,7.059,1.53,2.74,0.595,3.14,1.7,2.919,60,4.82,6,36,4,243,9.599,NA,NA,Indian_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.3416001637757526,6.434080250130275,BsM,3.077620449528686,3.38556670349683,24,6,6.550932609740408,5.572027634174705
3,4,Kukukus L.,15-5946-55139,3,4167.7,206439990.2,19.5,5,49.7724,-91.68396,2021,36.2,7.12,46.899,19.3,5.799,1.54,1.26,0.582,0.203,1.24,1.26,93,5.12,7.139,20.699,51.1,390,14.85,NA,NA,Kukukus_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,-0.44160016377575273,-10.065919749869725,BsM,3.073276542041572,2.799246705385322,25,7.139,6.552172285355361,7.579341101294618
3,4,Little Sandbar L.,15-6059-54782,1.5,218.5,5850900.02,7,2.7,49.45098,-91.54113,2019,25.6,7.299,60.899,19.399,6.48,1.35,2.839,0.565,4.179,1.2,3.2,100,4.32,6.2,36,4,260,11.8,NA,NA,Little Sandbar_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.9416001637757527,-22.565919749869725,BsM,3.077620449528686,1.925890610315377,26,6.2,6.550932609740408,6.91208541039184
3,4,Longlegged L.,15-4172-56262,2.3,6760.3,615479473.6,35.4,8.9,50.78395,-94.17453,2021,25.899,7.379,55.799,23.699,6.259,2.149,1.169,0.8,0.26,1.5,0.3,70,5.599,8.5,32,2,349,15.5,NA,NA,Longlegged_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,-1.141600163775753,5.834080250130274,BsM,3.073276542041572,2.722357919522227,27,8.5,6.552172285355361,8.90503784202644
3,4,Mameigwess L.,15-5853-54894,4,5242,854861751.7,50,16.1,49.55072,-91.82545,2019,9.33,7.24,58.899,25.899,7.58,1.639,1.35,0.623,0.272,1.98,1.31,30,6.45,2.25,10,5,200,7.15,NA,NA,Mameigwess_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,0.5583998362242473,20.434080250130275,BsM,3.077620449528686,5.394188398576419,28,2.25,6.550932609740408,2.6480632042709034
3,4,Miniss L.,15-6523-56318,1.7,6693.6,378857988.3,39,6,50.82132,-90.87326,2019,59.1,7.32,46.6,20.199,6.36,1.649,0.58,0.455,0.16,0.9,1.7,80,4.259,9.699,36,28,292,7.4,NA,NA,Miniss_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.7416001637757528,9.434080250130275,BsM,3.077620449528686,2.331054062916794,29,9.699,6.550932609740408,10.19882096972839
3,4,Minnitaki L.,15-5735-55360,2.5,17508.9,2128401752,44,12.2,49.97183,-91.95802,2022,74.4,7.16,52,20,6.629,1.62,1.379,0.622,0.897,1.49,2.73,202,5.019,10,10,111,380,13.199,NA,NA,Minnitaki_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-0.9416001637757527,14.434080250130275,BsM,3.071106888042308,2.6750528646905845,30,10,6.552792211132021,8.558119221218703
