BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,lat,long,maxDepth,meanDepth.,surfaceArea,lakeVolume
1,8,17-5247-53013,Sisseney,2008-05-22,2008,2.4,8.77,3.94,0.3,40.8,34,2.26,6.5,0.245,1.17,0.86,18,42,284,6.96,5.8,1.92,4.55,55,47.86371,-80.66658,NA,NA,NA,NA
1,8,17-4558-52975,Stetham,2008-05-27,2008,2.5,22.1,10,38.8,44.2,201,5.7,11.1,0.4,2.96,25.4,16,54,343,7.32,9.1,1.52,5.15,77,47.83174,-81.58983,NA,NA,NA,NA
1,8,17-3844-53694,Sweetwater,2010-04-22,2010,4.5,39.3,11.5,0.17,10.4,80.8,10.3,5.2,0.395,3.05,0.66,22,2,340,7.74,8.4,0.1,1.5,NA,48.46914,-82.56376,6,3.2,66.8,2138059.31
1,8,17-5829-53372,Victoria,2008-06-05,2008,2.2,28.6,9.98,3.48,53.4,84.8,6.88,9.3,0.28,2.43,2.74,20,18,379,7.55,9.6,1.2,5.35,44,48.18883,-79.88236,NA,NA,NA,NA
1,10,17-3812-51598,Alexander,2011-07-24,2011,3.1,1.2,1.9,0.2,39.4,16.2,0.8,8,0.2,0.4,0.6,14,2,344,5.8,6.3,0.4,3.5,NA,46.58727,-82.54121,25.5,6.9,36.6,2475832.76
1,10,17-3164-51328,Basswood,2009-05-15,2009,7,4.78,3.36,1.66,2.6,33.4,1.48,0.8,0.27,0.82,1.38,2,288,94,6.71,3,0.16,6.4,NA,46.33314,-83.39658,73.2,38.7,2689.3,1048228258
1,10,17-3557-51418,Big Moon,2009-05-15,2009,5,4.31,2.58,0.28,11.4,23,1.56,2.6,0.195,0.5,0.71,12,80,164,6.6,4.6,1.12,4.6,NA,46.41782,-82.87769,41.8,16.2,516.8,82036802.87
1,10,17-5312-52592,Carmen,2009-06-17,2009,NA,14.8,5.94,0.14,33.4,42,3.64,5.7,0.255,1.26,0.86,34,4,259,7.18,11.4,2.24,4.7,103,47.48696,-80.58688,11,2.3,21.3,324300
1,10,17-3323-51600,Castra,2011-05-24,2011,5.1,21.8,8.2,0.3,17,60.8,5.3,5,0.2,0.9,0.8,28,54,233,7.3,3.7,1.4,4.1,NA,46.57422,-83.18879,29,9.3,47.3,3971100.15
1,10,17-3457-51246,Cataract,2011-05-24,2011,4.5,5.1,2.3,0.4,6.4,27.6,1.3,2.6,0.2,0.6,0.8,26,34,150,6.9,4.9,0.9,4.9,NA,46.25956,-83.00214,4.9,1.7,111.3,1841100.1
1,10,17-3423-51340,Chiblow,2009-05-15,2009,6.1,4.6,2.74,0.39,6.2,25,1.36,2.4,0.235,0.67,0.82,10,92,148,6.62,3.7,1.02,5.15,NA,46.3472,-83.05073,66.9,24.1,1996,481330525.8
1,10,17-5240-51985,Chiniguchi,2010-04-29,2010,9.5,0.95,1.98,0.24,3.6,21.6,0.7,1.7,0.29,0.585,0.7,2,10,100,6.08,2.4,0.92,7.05,NA,46.93198,-80.68185,44.2,13.6,1100.9,176215198.3
1,10,17-3172-51540,Chub,2010-04-27,2010,5.1,4.67,2.86,2.69,8.4,32.2,1.6,3.5,0.29,0.65,2.22,10,62,233,6.74,4.8,0.64,4.65,NA,46.51091,-83.38389,25.7,10.6,176.4,18146108.92
1,10,17-3627-51660,Cobre,2011-05-24,2011,7.9,20.8,10.1,0.4,6,70.4,5,2.3,0.3,1,0.8,18,80,116,7.3,1.7,0.5,8.3,NA,46.63533,-82.79405,61.6,28,90.7,23715999.15
1,10,17-3290-51439,Constance,2010-04-27,2010,4,12.2,4.46,1.72,8.6,41.8,3.48,3.8,0.425,1.31,1.97,16,8,302,7.11,7.7,2.64,4.85,NA,46.42866,-83.22546,17.1,11.1,119,12576300.77
1,10,17-3101-51746,Curve,2011-05-24,2011,1,2.8,1.7,0.3,28.8,20.2,1,5.7,0.3,0.5,0.7,56,10,309,6.4,9.1,1.7,3,162,46.70765,-83.48311,NA,NA,NA,NA
1,10,17-2752-51845,Devils,2009-05-12,2009,7.1,5.14,2.98,0.25,9.4,25.8,1.66,3.7,0.38,0.635,0.76,10,64,268,6.65,3.5,0.84,4.5,NA,46.77811,-83.94464,42.1,11.4,196,22765798.89
1,10,17-5370-51830,Donald,2010-04-29,2010,10,0.2,2.04,0.23,3.2,21.8,0.52,1.3,0.175,0.485,0.705,2,2,97,5.61,2.5,0.46,7.6,NA,46.79829,-80.51028,60,15.4,501.2,76722799.98
1,10,17-2792-52332,Galloway,2012-09-12,2012,3.7,4.8,3,0.3,27.8,29.8,2,6.7,0.2,0.8,0.8,2,2,261,7.1,3.7,1.6,3.1,NA,47.21974,-83.91641,20.8,5,25.6,1312449.74
1,10,16-6678-52804,Gamitagama,2009-05-24,2009,7.3,3.19,1.94,0.12,8.8,16.4,1.08,2.1,0.165,0.33,0.5,40,64,194,6.62,2.7,0.36,2.95,NA,47.65757,-84.76551,27.5,8,194.1,12845278.79
1,10,17-4614-51736,Green,2011-05-13,2011,5.8,5.6,2.7,0.2,6.6,26.4,2.4,2.9,0.4,0.7,0.8,50,48,216,6.5,5.6,0.5,5.1,NA,46.71921,-81.50584,24.3,6.5,44.2,2712052.74
1,10,16-6971-52177,Griffin,2009-05-11,2009,10,5.77,3.32,0.16,8.6,25.8,1.78,2.7,0.215,0.45,0.565,6,346,173,6.69,2.8,1.56,3.55,NA,47.08604,-84.40354,45.7,20.3,160.3,29861300.12
1,10,17-3400-51692,Kirkpatrick,2009-05-15,2009,6.6,6.03,3.14,0.32,8,26.4,2.04,2.8,0.175,0.685,0.66,2,78,144,6.67,3.2,1.48,4.2,NA,46.65714,-83.09401,70.2,17,1110.3,186575000
1,10,17-4157-51611,Klondykes,2009-05-20,2009,4,3.94,1.62,0.2,27.6,17.4,0.74,3.9,0.205,0.395,0.825,10,54,175,6.3,3.9,2.18,4.1,NA,46.59388,-82.09527,16.3,4.8,199.2,9284826.57
1,10,17-5344-51754,Kukagami,2010-04-29,2010,5.5,4.31,3.68,0.81,9.6,32.8,1.5,2.6,0.275,0.915,0.825,10,8,199,6.74,4.3,0.54,8.2,NA,46.73335,-80.55126,60.4,12.4,1857.8,227659691.5
1,10,17-4485-51124,Lang,2011-05-13,2011,4,11.5,5.5,5.1,9.8,64.4,3.8,3.4,0.6,1.7,3.5,26,36,228,7,6.2,1.1,9,NA,46.16152,-81.66548,21,6.3,393.2,37541702.67
1,10,17-3592-51192,Lauzon,2009-05-15,2009,3.9,6.36,3.7,1.54,10.4,36.8,1.8,2.6,0.365,0.985,1.32,2,100,178,6.77,4.3,0.7,6.6,NA,46.21199,-82.82266,82.3,23.8,2198.4,533595982.9
1,10,17-3360-51357,Little Chiblow,2009-05-15,2009,4.9,4.57,2.62,0.42,8.8,24.8,1.4,2.8,0.23,0.65,0.81,4,66,168,6.71,4.2,0.72,5,NA,46.357,-83.13157,38.1,17.3,641.9,110270199.4
1,10,16-6811-52113,Mamainse,2009-05-11,2009,10,3.11,2.1,0.22,6.8,19.2,1.16,2.2,0.24,0.325,0.535,36,244,182,6.39,2.4,1.12,3.5,NA,47.03048,-84.61844,36.6,12,147.7,17664346.28
1,10,17-4235-50696,"Manitou,",2010-04-29,2010,7,121,33.1,3.76,4.2,260,32.1,3.1,0.795,15.3,0.9,4,2,278,8.12,7.6,1.22,15.6,NA,45.77755,-81.98346,49.1,14.6,10588.4,1542707699
1,10,17-3525-51387,Matinenda,2009-05-15,2009,5.7,4.53,2.58,0.28,10.2,24.2,1.36,2.8,0.22,0.63,0.8,6,92,165,6.63,3.9,1.28,4.7,NA,46.37703,-82.95394,85.3,22.5,4128,802485022
1,10,17-2851-51570,McMahon,2009-05-12,2009,4.4,12.1,5.26,0.33,7.2,39.4,3.16,2.7,0.345,0.905,0.83,18,54,260,7.1,6.9,0.44,4.65,NA,46.53421,-83.8027,27.4,14.3,223.8,31331301.29
1,10,17-4175-51987,Mozhabong,2010-04-29,2010,6.5,3.25,2.04,0.25,7,20.6,1.24,2.8,0.21,0.67,0.735,4,22,165,6.58,3.9,0.9,4.8,NA,46.95159,-82.08518,44.8,12.1,2048.3,183968408.8
1,10,17-5179-52567,Okiniada,2009-05-22,2009,5.3,0.94,1.36,0.11,17.4,17.2,0.7,3.8,0.21,0.44,0.72,14,24,160,5.88,5.2,2.24,4.45,NA,47.46489,-80.76159,32.9,13,93.6,12727000.2
1,10,17-4743-51217,"Panache,",2010-04-29,2010,5.2,10.2,5.52,6.3,8.8,66.6,3.04,3.3,0.64,1.76,4.39,4,50,202,7.08,4.4,1.24,9.4,NA,46.23782,-81.35711,58.5,14.8,8006.1,1167683276
1,10,17-3091-51898,Penelope,2010-04-27,2010,4.5,26.8,8.4,0.31,4.4,63.4,7.26,2.6,0.375,2.37,1.14,12,8,303,7.44,9.4,2.8,5,NA,46.83672,-83.50296,36.6,11.6,175.8,20416000.67
1,10,17-4364-52017,Pogamasing,2010-04-29,2010,3.5,6,3,0.01,5.8,27,1.88,3.2,0.25,0.82,0.965,2,6,172,6.9,4.9,1.56,0.05,NA,46.96784,-81.83568,34,8.8,1563.9,139673598.7
1,10,16-6806-52259,Queminico,2009-05-11,2009,6,20.9,6.84,0.21,9.2,52,5.36,4.1,0.46,1.61,1.03,78,66,335,7.4,6.7,1.08,3.15,NA,47.16395,-84.61718,7.3,4.3,111.3,4712800.14
1,10,17-3810-51468,Quirke,2009-05-15,2009,8.5,4.06,19.3,3.29,5,142,1.5,2.1,1.89,1.47,2.44,8,760,170,6.54,3,1.04,48.4,NA,46.48519,-82.55613,104.9,32.9,2065,685587533.1
1,10,17-3053-51969,Ranger,2009-05-12,2009,9.5,7.75,3.76,0.56,7.8,31.2,2.12,3.1,0.27,0.955,0.76,6,50,184,6.87,2.1,1,4.7,NA,46.90502,-83.56707,73.2,21.7,2318.7,489139738.4
1,10,17-3764-51679,Rawhide,2009-05-15,2009,5.6,6.38,3.24,0.31,7.2,30.8,1.8,1.7,0.24,0.945,0.69,2,2,132,6.84,5.4,0.6,6.35,NA,46.65506,-82.61487,61,23,952.6,222732005.6
1,10,17-5330-51961,Rawson,2010-04-29,2010,5.6,1.78,2.64,0.27,10.4,23.4,0.88,3.2,0.195,0.495,0.755,6,6,188,6.31,4.1,0.74,6.9,NA,46.92006,-80.56675,26,5.6,163.4,8881600.19
1,10,17-3086-52062,Saymo,2009-05-20,2009,6.1,7.36,3.4,0.25,12,27.8,1.96,3.9,0.225,0.765,0.71,8,56,179,6.81,3.2,1.12,3.85,NA,46.98215,-83.51746,52.2,16.6,843.4,139263079.3
1,10,17-4713-52126,Scotia,2010-04-23,2010,6,3.71,2.74,0.26,21.8,25,1.5,4.9,0.185,0.805,0.81,2,100,223,6.41,4.1,1.6,4.85,NA,47.07183,-81.37676,63.1,17.8,760.7,147241595.9
1,10,17-3629-51531,Ten Mile,2009-05-15,2009,NA,4.87,3.24,0.27,2.8,24.4,1.44,1.8,0.18,0.415,0.48,2,52,106,6.62,2.4,0.16,4.75,NA,46.51978,-82.78766,116.2,30.1,1030.7,316276150.2
1,10,17-3191-51595,Wakomata,2009-05-15,2009,5,6.3,3.4,0.61,3.4,30.2,1.74,2,0.235,0.76,0.805,2,156,122,6.76,2.3,1.18,5.05,NA,46.57189,-83.36057,73.2,28.3,2479.2,698642067.4
1,10,17-4608-51161,Walker,2009-05-20,2009,3.5,20.9,5.74,5.46,11.8,66.2,2.76,3.4,0.605,1.66,3.96,14,74,194,7,5.7,1.06,9.5,NA,46.1992,-81.50973,54.9,26.5,349.4,89914496.77
