BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,10,16-6829-52763,Radium,2011-05-25,2011,3.5,11.5,4.8,47.61506,-84.57498,3,1.6,0.2,27.6,17.4,1.4,5.1,0.3,0.4,0.7,32,86,306,6.1,7.2,2.1,3.1,101,2.8794133046013544
1,10,17-3053-51969,Ranger,2009-05-12,2009,9.5,73.2,21.7,46.90502,-83.56707,7.75,3.76,0.56,7.8,31.2,2.12,3.1,0.27,0.955,0.76,6,50,184,6.87,2.1,1,4.7,NA,6.614789017670482
1,10,17-3764-51679,Rawhide,2009-05-15,2009,5.6,61,23,46.65506,-82.61487,6.38,3.24,0.31,7.2,30.8,1.8,1.7,0.24,0.945,0.69,2,2,132,6.84,5.4,0.6,6.35,NA,2.8646808486032125
1,10,17-5330-51961,Rawson,2010-04-29,2010,5.6,26,5.6,46.92006,-80.56675,1.78,2.64,0.27,10.4,23.4,0.88,3.2,0.195,0.495,0.755,6,6,188,6.31,4.1,0.74,6.9,NA,3.649244099577463
1,10,17-2870-51459,Rock,2011-05-24,2011,1.3,21.4,11.6,46.43338,-83.77218,15.7,5,0.9,35,51,3.9,5.4,0.5,1.6,1.4,32,128,281,7.1,15.1,2.5,4.3,38,2.072068478931305
1,10,17-4759-52050,Rome,2009-05-22,2009,3,12.6,3.8,46.99809,-81.30837,3.76,2.2,0.19,45,21.2,0.8,7.2,0.2,0.65,0.715,8,56,278,6.13,7.7,1.68,5.15,199,2.73984505846427
1,10,17-3631-51330,Rossmere,2009-05-15,2009,1.8,6,3.6,46.33895,-82.77877,4.33,2.64,0.36,37.4,25,1.08,6.4,0.3,0.695,0.885,8,108,367,6.57,8.9,1.84,4.45,112,2.687769994664095
1,10,17-4302-51759,Rushbrook,2010-04-29,2010,4.5,18.3,7.3,46.73787,-81.91669,7.43,3.38,0.26,10.4,29.2,2.4,3,0.415,0.855,1.04,8,2,191,6.99,8.3,0.84,5.05,74,2.4681508300103565
1,10,17-4329-51689,S,2011-05-13,2011,3,16.3,2.5,46.67256,-81.87708,4.3,2.4,0.2,17.6,22.2,2.3,3.5,0.4,0.5,0.8,24,10,186,6.4,6.6,1.8,4.2,213,2.747628139376604
1,10,17-2880-52035,Saddle,2009-05-12,2009,4,15.2,3.8,46.95281,-83.78813,4.81,2.88,0.23,22.8,23.2,1.4,5.3,0.23,0.56,0.725,42,68,325,6.58,6.1,1.06,3.75,80,3.170170766286996
1,10,16-6855-52885,Sand,2009-05-25,2009,2,29.1,6.5,47.72534,-84.52605,2.82,2.18,0.1,84.8,19,0.88,11,0.225,0.475,0.74,32,110,374,6.17,4.8,2.2,2.65,136,3.727908318592463
1,10,17-3086-52062,Saymo,2009-05-20,2009,6.1,52.2,16.6,46.98215,-83.51746,7.36,3.4,0.25,12,27.8,1.96,3.9,0.225,0.765,0.71,8,56,179,6.81,3.2,1.12,3.85,NA,4.345294142679455
1,10,17-4713-52126,Scotia,2010-04-23,2010,6,63.1,17.8,47.07183,-81.37676,3.71,2.74,0.26,21.8,25,1.5,4.9,0.185,0.805,0.81,2,100,223,6.41,4.1,1.6,4.85,NA,3.7681544230631814
1,10,17-5289-52606,Shack,2009-05-22,2009,3.3,12.4,2,47.50515,-80.61946,4.53,2.66,0.11,56.4,23.8,1.36,7.2,0.255,0.65,0.65,68,64,300,6.53,8.5,2,3.35,164,2.6509043349705648
1,10,17-3014-51622,Shelden,2009-05-12,2009,5.5,21.3,9.9,46.58666,-83.59021,7.34,3.72,0.33,16.4,31,2.08,3.5,0.315,0.775,0.93,12,164,232,6.76,4.1,1.66,4.4,58,3.7957125293245055
