BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Big Island,49.95155,-93.97876,15-4298-55335,Big Island,49.95166667,-93.97805556,15-4298-55335,NA,Big Island_1
Big Moon,46.41782,-82.87769,17-3557-51418,Big Moon,46.41611111,-82.87805556,17-3557-51418,NA,Big Moon_1
Big Pike,49.20875,-83.45615,17-3210-54534,Big Pike,49.20944444,-83.45777778,17-3210-54534,NA,Big Pike_1
Big Rideau,44.75128,-76.21379,18-4040-49580,Big Rideau,44.77083333,-76.21277778,18-4040-49580,NA,Big Rideau_1
Big Sandy,49.82359,-92.36295,15-5463-55189,Big Sandy,49.8225,-92.35611111,15-5463-55189,NA,Big Sandy_1
Big Vermilion,50.04484,-92.20826,15-5556-55428,Big Vermilion,50.03666667,-92.22305556,15-5556-55428,NA,Big Vermilion_1
Bigwind,45.05711,-79.05464,17-6532-49909,Bigwind,45.05694444,-79.05416667,17-6532-49909,NA,Bigwind_1
Birch,46.30414,-81.97448,17-4246-51279,Birch,46.30222222,-81.97972222,17-4246-51279,NA,Birch_1
Birch,51.39338,-92.37217,15-5452-56951,Birch,51.40694444,-92.35055556,15-5452-56951,NA,Birch_2
Biscotasi,47.29951,-82.08179,17-4182-52388,Biscotasi,47.29944444,-82.08194444,17-4182-52388,NA,Biscotasi_1
Bisect,48.70281,-88.75896,16-3706-53956,Bisect,48.70194444,-88.75888889,16-3706-53956,NA,Bisect_1
Bittern,48.45849,-83.25316,17-3334-53694,Bittern,48.45805556,-83.25333333,17-3334-53695,NA,Bittern_1
Black,49.54106,-94.07975,15-4218-54877,Black,49.53888889,-94.08111111,15-4218-54877,NA,Black_1
Black,44.5541,-76.48648,18-3819-49343,Black,44.55388889,-76.48666667,18-3819-49343,NA,Black_2
Black Sturgeon,49.35824,-88.87211,16-3634-54687,Black Sturgeon,49.35805556,-88.88055556,16-3634-54687,NA,Black Sturgeon_1
Blindfold,49.67003,-94.25758,15-4100-55022,Blindfold,49.66722222,-94.24722222,15-4100-55022,NA,Blindfold_1
Blueberry,50.15109,-94.74174,15-3755-55568,Blueberry,50.15222222,-94.74305556,15-3755-55568,NA,Blueberry_1
Bluesky,45.74939,-79.17707,17-6417-50675,Bluesky,45.74888889,-79.17888889,17-6417-50676,NA,Bluesky_1
Bluffpoint,49.1767,-93.37447,15-4725-54467,Bluffpoint,49.17472222,-93.37666667,15-4726-54467,NA,Bluffpoint_1
Bluffy,50.81613,-92.96312,15-5035-56302,Bluffy,50.82583333,-92.95055556,15-5035-56302,NA,Bluffy_1
Blunder,48.42444,-90.26943,15-7020-53669,Blunder,48.42472222,-90.26944444,15-7020-53669,NA,Blunder_1
Boat,44.72592,-81.22706,17-4820-49523,Boat,44.72583333,-81.2275,17-4820-49523,NA,Boat_1
Borden,47.82327,-83.29694,17-3280-52990,Borden,47.82333333,-83.2975,17-3280-52990,NA,Borden_1
Bornite,50.32556,-93.46277,15-4670-55751,Bornite,50.32916667,-93.46333333,15-4670-55751,NA,Bornite_1
Boss,46.54506,-84.10111,16-7223-51585,Boss,46.54527778,-84.10083333,16-7223-51585,NA,Boss_1
Botsford,50.13856,-91.6591,15-5970-55554,Botsford,50.145,-91.64222222,15-5970-55554,NA,Botsford_1
Boumage,46.87978,-82.42729,17-3914-51928,Boumage,46.88138889,-82.425,17-3914-51927,NA,Boumage_1
Bridge,50.27807,-93.62387,15-4559-55694,Bridge,50.27666667,-93.61944444,15-4559-55694,NA,Bridge_1
Brightsand,49.72309,-90.40666,15-6869-55111,Brightsand,49.72527778,-90.40666667,15-6869-55111,NA,Brightsand_1
Broadcast,50.40992,-92.65663,15-5244-55839,Broadcast,50.40888889,-92.65638889,15-5244-55839,NA,Broadcast_1
Brule,45.05076,-77.04841,18-3388-49903,Brule,45.04944444,-77.04694444,18-3388-49903,NA,Brule_1
Brunswick,48.98722,-83.38942,17-3275-54280,Brunswick,48.98277778,-83.3575,17-3275-54280,NA,Brunswick_1
Buck,46.98422,-83.8841,17-2807-52072,Buck,46.98416667,-83.88416667,17-2807-52072,NA,Buck_1
Buck,45.29311,-77.74,18-2851-50189,Buck,45.29305556,-77.74027778,18-2851-50189,NA,Buck_2
Buck,45.42025,-79.39479,17-6254-50307,Buck,45.42027778,-79.39666667,17-6254-50307,NA,Buck_3
Buckaday,48.98064,-87.75228,16-4450-54254,Buckaday,48.98111111,-87.75166667,16-4450-54254,NA,Buckaday_1
Buckhorn,44.4856,-78.39118,17-7074-49293,Buckhorn,44.48888889,-78.39166667,17-7074-49293,NA,Buckhorn_1
Buckshot,47.55979,-84.91051,16-6572-52693,Buckshot,47.55972222,-84.91055556,16-6572-52693,NA,Buckshot_1
Buckshot,44.99564,-77.06938,18-3369-49845,Buckshot,44.9975,-77.06916667,18-3369-49845,NA,Buckshot_2
Bukemiga,50.11444,-89.2204,16-3411-55531,Bukemiga,50.11083333,-89.22194444,16-3411-55531,NA,Bukemiga_1
Bulging,50.94425,-94.94722,15-3634-56451,Bulging,50.94361111,-94.94388889,15-3634-56451,NA,Bulging_1
Bull,44.68776,-76.97467,18-3434-49499,Bull,44.68722222,-76.97611111,18-3434-49499,NA,Bull_1
Burchell,48.58834,-90.62706,15-6747-53842,Burchell,48.58888889,-90.63027778,15-6748-53842,NA,Burchell_1
Burditt,48.96059,-93.77003,15-4430-54221,Burditt,48.95111111,-93.77833333,15-4430-54221,NA,Burditt_1
Burns,45.5871,-77.67143,18-2916-50515,Burns,45.5875,-77.67166667,18-2916-50515,NA,Burns_1
Burnt Island,48.79053,-90.841309999999993,15-6584-54061,Burnt Island,48.78972222,-90.84305556,15-6584-54061,NA,Burnt Island_1
Burridge,44.66433,-76.55461,18-3767-49466,Burridge,44.66416667,-76.555,18-3767-49466,NA,Burridge_1
Burrows,49.9523,-86.73837,16-5188-55331,Burrows,49.95222222,-86.73833333,16-5188-55331,NA,Burrows_1
Bury,50.43634,-91.3911,15-6143-55885,Bury,50.43916667,-91.39055556,15-6143-55885,NA,Bury_1
Butler,49.67307,-92.6663,15-5246-55025,Butler,49.67611111,-92.65972222,15-5246-55025,NA,Butler_1
Cairngorm,48.99187,-86.93716,16-5042-54260,Cairngorm,48.98916667,-86.94194444,16-5043-54260,NA,Cairngorm_1
Calabogie,45.27732,-76.74264,18-3634-50151,Calabogie,45.27833333,-76.74194444,18-3634-50151,NA,Calabogie_1
Callahan,47.5234,-84.51967,16-6867-52661,Callahan,47.52333333,-84.51972222,16-6867-52661,NA,Callahan_1
Calm,48.78402,-92.08944,15-5676-54025,Calm,48.77416667,-92.08055556,15-5676-54025,NA,Calm_1
Cameron,49.0175,-84.27477,16-6991-54320,Cameron,49.01083333,-84.27722222,16-6991-54320,NA,Cameron_1
Cameron,48.16948,-90.0888,15-7164-53390,Cameron,48.16972222,-90.08972222,15-7164-53391,NA,Cameron_2
Cameron,45.217,-81.55793,17-4561-50068,Cameron,45.21555556,-81.55861111,17-4561-50068,NA,Cameron_3
Cameron,44.55177,-78.76076,17-6778-49354,Cameron,44.55222222,-78.76138889,17-6778-49354,NA,Cameron_4
Camp,48.74852,-90.42086,15-6896-54026,Camp,48.74916667,-90.42027778,15-6896-54026,NA,Camp_1
Canal,44.56744,-79.04366,17-6548-49368,Canal,44.57027778,-79.05,17-6548-49368,NA,Canal_1
Canyon,49.9888,-93.68699,15-4470-55367,Canyon,49.98194444,-93.73916667,15-4470-55367,NA,Canyon_1
Captain Tom,48.47819,-92.31846,15-5503-53695,Captain Tom,48.47833333,-92.31888889,15-5503-53695,NA,Captain Tom_1
Carling,50.6223,-91.28022,15-6217-56090,Carling,50.62222222,-91.28,15-6217-56090,NA,Carling_1
Carmen,47.48696,-80.58688,17-5312-52592,Carmen,47.48722222,-80.58611111,17-5312-52592,NA,Carmen_1
Carty,48.16538,-82.70049,17-3736-53361,Carty,48.16722222,-82.69944444,17-3736-53360,NA,Carty_1
Cassels,47.06939,-79.71594,17-5970-52137,Cassels,47.07166667,-79.7225,17-5970-52137,NA,Cassels_1
Castle,48.19412,-90.07267,15-7176-53418,Castle,48.19416667,-90.07166667,15-7176-53418,NA,Castle_1
Castle,50.1269,-88.87219,16-3663-55543,Castle,50.1275,-88.87027778,16-3663-55542,NA,Castle_2
Castra,46.57422,-83.18879,17-3323-51600,Castra,46.57416667,-83.18888889,17-3323-51599,NA,Castra_1
Cataract,46.25956,-83.00214,17-3457-51246,Cataract,46.25916667,-83.00222222,17-3457-51246,NA,Cataract_1
Catchacoma,44.75058,-78.32526,17-7116-49585,Catchacoma,44.75083333,-78.32694444,17-7116-49585,NA,Catchacoma_1
Catlonite,49.17841,-87.00698,16-4995-54471,Catlonite,49.17833333,-87.00694444,16-4995-54471,NA,Catlonite_1
Cavern,48.8321,-88.66491,16-3778-54100,Cavern,48.8325,-88.66444444,16-3779-54099,NA,Cavern_1
Caviar,49.37469,-93.77506,15-4431-54685,Caviar,49.36833333,-93.78361111,15-4431-54685,NA,Caviar_1
Cecebe,45.64268,-79.58059,17-6111-50550,Cecebe,45.64166667,-79.57388889,17-6111-50550,NA,Cecebe_1
Cecil,49.54021,-91.40065,15-6164-54885,Cecil,49.53944444,-91.39138889,15-6164-54884,NA,Cecil_1
Cedartree,49.30386,-93.86676,15-4375-54620,Cedartree,49.30944444,-93.85944444,15-4375-54620,NA,Cedartree_1
Chant Plain,46.31366,-78.773,17-6713-51311,Chant Plain,46.31361111,-78.775,17-6713-51311,NA,Chant Plain_1
Charleston,44.5346,-76.01579,18-4196-49317,Charleston,44.53611111,-76.01194444,18-4196-49317,NA,Charleston_1
Chemong,44.38846,-78.39205,17-7076-49181,Chemong,44.38861111,-78.39305556,17-7077-49181,NA,Chemong_1
Chesley,44.55287,-81.22414,17-4822-49331,Chesley,44.55333333,-81.22472222,17-4822-49331,NA,Chesley_1
