waterbodyID,lakeName,lat,long,latD,latM1,latM2,longD,longM1,longM2,waterbodyID_OG,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
16-5412-54570,Kagiano ,49.28717,-86.43241,49,2,8,86,4,3,16-5412-54570,Kagiano,,16-5412-54570 Kagiano ,TRUE,3,
16-6239-53245,Katzenbach ,48.06369,-85.33663,48,0,6,85,3,3,16-6239-53245,Katzenbach,,16-6239-53245 Katzenbach ,TRUE,3,
16-6225-54072,Kwinkwaga ,48.80786,-85.33219,48,8,0,85,3,3,16-6225-54072,Kwinkwaga,,16-6225-54072 Kwinkwaga ,TRUE,3,
16-6727-53244,Lena ,48.05118,-84.683,48,0,5,84,6,8,16-6727-53244,Lena,,16-6727-53244 Lena ,TRUE,3,
16-6953-53376,Manitowik ,48.16368,-84.37354,48,1,6,84,3,7,16-6953-53376,Manitowik,,16-6953-53376 Manitowik ,TRUE,3,
16-6393-54219,Matthews ,48.93675,-85.09856,48,9,3,85,0,9,16-6393-54219,Matthews,,16-6393-54219 Matthews ,TRUE,3,
16-6222-53262,Mishi ,48.07953,-85.35913,48,0,7,85,3,5,16-6222-53262,Mishi,,16-6222-53262 Mishi ,TRUE,3,
17-3006-53592,Missinaibi ,48.35674,-83.69128,48,3,5,83,6,9,17-3006-53592,Missinaibi,,17-3006-53592 Missinaibi ,TRUE,3,
16-6420-54760,Nagagami ,49.42202,-85.0419,49,4,2,85,0,4,16-6420-54760,Nagagami,,16-6420-54760 Nagagami ,TRUE,3,
16-6697-54829,Nagagamisis ,49.47731,-84.65717,49,4,7,84,6,5,16-6697-54829,Nagagamisis,,16-6697-54829 Nagagamisis ,TRUE,3,
16-6678-54040,Nameigos ,48.78398,-84.70585,48,7,8,84,7,0,16-6678-54040,Nameigos,,16-6678-54040 Nameigos ,TRUE,3,
16-6683-54687,Newlands ,49.339,-84.6914,49,3,3,84,6,9,16-6683-54687,Newlands,,16-6683-54687 Newlands ,TRUE,3,
16-6121-53610,North McCrea ,48.39452,-85.48552,48,3,9,85,4,8,16-6121-53610,North,McCrea,16-6121-53610 North McCrea ,FALSE,4, 
16-6991-53906,Oba ,48.64543,-84.28872,48,6,4,84,2,8,16-6991-53906,Oba,,16-6991-53906 Oba ,TRUE,3,
16-6094-53522,Partridge ,48.31563,-85.5247,48,3,1,85,5,2,16-6094-53522,Partridge,,16-6094-53522 Partridge ,TRUE,3,
16-6583-54325,Placid,49.02703,-84.83384,49,0,2,84,8,3,16-6583-54325,Placid,NA,16-6583-54325 Placid,FALSE,2,
17-2830-53096,Prairie Bee ,47.9122,-83.90502,47,9,1,83,9,0,17-2830-53096,Prairie,Bee,17-2830-53096 Prairie Bee ,FALSE,4, 
16-6398-54390,Shekak ,49.09008,-85.08496,49,0,9,85,0,8,16-6398-54390,Shekak,,16-6398-54390 Shekak ,TRUE,3,
16-7128-53305,Shikwamkwa ,48.09424,-84.14241,48,0,9,84,1,4,16-7128-53305,Shikwamkwa,,16-7128-53305 Shikwamkwa ,TRUE,3,
17-2866-53707,South Greenhill ,48.45508,-83.88685,48,4,5,83,8,8,17-2866-53707,South,Greenhill,17-2866-53707 South Greenhill ,FALSE,4, 
16-6497-54012,Strickland ,48.74758,-84.96384,48,7,4,84,9,6,16-6497-54012,Strickland,,16-6497-54012 Strickland ,TRUE,3,
16-7122-53960,Tatnall ,48.67829,-84.11808,48,6,7,84,1,1,16-7122-53960,Tatnall,,16-7122-53960 Tatnall ,TRUE,3,
16-6348-54346,Tocheri ,49.05147,-85.15469,49,0,5,85,1,5,16-6348-54346,Tocheri,,16-6348-54346 Tocheri ,TRUE,3,
16-7050-53715,Wabatongushi ,48.46364,-84.23041,48,4,6,84,2,3,16-7050-53715,Wabatongushi,,16-7050-53715 Wabatongushi ,TRUE,3,
16-6699-53200,Wawa ,48.01285,-84.72161,48,0,1,84,7,2,16-6699-53200,Wawa,,16-6699-53200 Wawa ,TRUE,3,
16-6450-53469,West Kabenung ,48.2603,-85.04903,48,2,6,85,0,4,16-6450-53469,West,Kabenung,16-6450-53469 West Kabenung ,FALSE,4, 
16-6003-54025,White ,48.78835,-85.61725,48,7,8,85,6,1,16-6003-54025,White,,16-6003-54025 White ,TRUE,3,
16-6053-54810,White Otter ,49.4723,-85.54923,49,4,7,85,5,4,16-6053-54810,White,Otter,16-6053-54810 White Otter ,FALSE,4, 
16-6898-53236,Whitefish ,48.00938,-84.47039,48,0,0,84,4,7,16-6898-53236,Whitefish,,16-6898-53236 Whitefish ,TRUE,3,
17-2934-53143,Windermere ,47.94905,-83.77195,47,9,4,83,7,7,17-2934-53143,Windermere,,17-2934-53143 Windermere ,TRUE,3,
17-2837-53860,Woodosgoon ,48.5914,-83.9328,48,5,9,83,9,3,17-2837-53860,Woodosgoon,,17-2837-53860 Woodosgoon ,TRUE,3,
17-5694-55282,NA,49.90421,-80.03334,49,9,0,80,0,3,17-5694-55282,"NA",NA,17-5694-55282 NA,FALSE,2,
17-5851-53899,Abitibi,48.65805,-79.84475,48,6,5,79,8,4,17-5851-53899,Abitibi,NA,17-5851-53899 Abitibi,FALSE,2,
17-5396-53477,Arthur ,48.27894,-80.45989,48,2,7,80,4,5,17-5396-53477,Arthur,,17-5396-53477 Arthur ,TRUE,3,
17-4999-52930,Banner ,47.79376,-81.00072,47,7,9,81,0,0,17-4999-52930,Banner,,17-4999-52930 Banner ,TRUE,3,
17-5069-53845,Barbers Bay,48.61535,-80.90675,48,6,1,80,9,0,17-5069-53845,Barbers,Bay,17-5069-53845 Barbers Bay,TRUE,3,
17-3210-54534,Big Pike ,49.20875,-83.45615,49,2,0,83,4,5,17-3210-54534,Big,Pike,17-3210-54534 Big Pike ,FALSE,4, 
17-5532-55906,Bodell ,50.46041,-80.25484,50,4,6,80,2,5,17-5532-55906,Bodell,,17-5532-55906 Bodell ,TRUE,3,
17-3280-52990,Borden ,47.82327,-83.29694,47,8,2,83,2,9,17-3280-52990,Borden,,17-3280-52990 Borden ,TRUE,3,
17-4361-52919,Brady ,47.77998,-81.85182,47,7,7,81,8,5,17-4361-52919,Brady,,17-4361-52919 Brady ,TRUE,3,
17-3275-54280,Brunswick ,48.98722,-83.38942,48,9,8,83,3,8,17-3275-54280,Brunswick,,17-3275-54280 Brunswick ,TRUE,3,
17-5735-54944,Burntbush ,49.59998,-79.98141,49,5,9,79,9,8,17-5735-54944,Burntbush,,17-5735-54944 Burntbush ,TRUE,3,
17-4160-52704,Camp ,47.58799,-82.10443,47,5,8,82,1,0,17-4160-52704,Camp,,17-4160-52704 Camp ,TRUE,3,
17-3736-53361,Carty ,48.16538,-82.70049,48,1,6,82,7,0,17-3736-53361,Carty,,17-3736-53361 Carty ,TRUE,3,
17-5892-54928,Chabbie ,49.58721,-79.76654,49,5,8,79,7,6,17-5892-54928,Chabbie,,17-5892-54928 Chabbie ,TRUE,3,
17-3714-52934,Cree ,47.77507,-82.70472,47,7,7,82,7,0,17-3714-52934,Cree,,17-3714-52934 Cree ,TRUE,3,
17-3670-52999,Denyes ,47.84019,-82.78009,47,8,4,82,7,8,17-3670-52999,Denyes,,17-3670-52999 Denyes ,TRUE,3,
17-4935-53022,Dumbell ,47.87667,-81.08547,47,8,7,81,0,8,17-4935-53022,Dumbell,,17-4935-53022 Dumbell ,TRUE,3,
17-5026-52889,Duncan ,47.76275,-80.95455,47,7,6,80,9,5,17-5026-52889,Duncan,,17-5026-52889 Duncan ,TRUE,3,
17-5439-55794,Edgar ,50.35625,-80.37828,50,3,5,80,3,7,17-5439-55794,Edgar,,17-5439-55794 Edgar ,TRUE,3,
17-5975-55652,Favell ,50.21996,-79.6307,50,2,1,79,6,3,17-5975-55652,Favell,,17-5975-55652 Favell ,TRUE,3,
17-4339-53837,Fortune ,48.6048,-81.89708,48,6,0,81,8,9,17-4339-53837,Fortune,,17-4339-53837 Fortune ,TRUE,3,
17-5046-53895,Frederick House ,48.66063,-80.93786,48,6,6,80,9,3,17-5046-53895,Frederick,House,17-5046-53895 Frederick House ,FALSE,4, 
17-4126-52908,Genoa ,47.77029,-82.16715,47,7,7,82,1,6,17-4126-52908,Genoa,,17-4126-52908 Genoa ,TRUE,3,
17-4019-55121,Guilfoyle ,49.75797,-82.36108,49,7,5,82,3,6,17-4019-55121,Guilfoyle,,17-4019-55121 Guilfoyle ,TRUE,3,
17-3820-53229,Gullystone ,48.03903,-82.57618,48,0,3,82,5,7,17-3820-53229,Gullystone,,17-3820-53229 Gullystone ,TRUE,3,
17-4850-53031,Halliday ,47.87639,-81.20262,47,8,7,81,2,0,17-4850-53031,Halliday,,17-4850-53031 Halliday ,TRUE,3,
17-3804-53044,Hanson ,47.87806,-82.59691,47,8,7,82,5,9,17-3804-53044,Hanson,,17-3804-53044 Hanson ,TRUE,3,
17-4140-53137,Hardiman ,47.97112,-82.14951,47,9,7,82,1,4,17-4140-53137,Hardiman,,17-4140-53137 Hardiman ,TRUE,3,
17-5128-54930,Harris ,49.59089,-80.82037,49,5,9,80,8,2,17-5128-54930,Harris,,17-5128-54930 Harris ,TRUE,3,
17-5240-53148,Hawley ,47.98793,-80.67798,47,9,8,80,6,7,17-5240-53148,Hawley,,17-5240-53148 Hawley ,TRUE,3,
17-3644-55310,Hillmer ,49.91811,-82.88897,49,9,1,82,8,8,17-3644-55310,Hillmer,,17-3644-55310 Hillmer ,TRUE,3,
17-5372-53175,Holmes ,48.01432,-80.50166,48,0,1,80,5,0,17-5372-53175,Holmes,,17-5372-53175 Holmes ,TRUE,3,
17-4010-53144,Horwood ,47.96766,-82.32184,47,9,6,82,3,2,17-4010-53144,Horwood,,17-4010-53144 Horwood ,TRUE,3,
17-5202-54735,Humestone ,49.41618,-80.71877,49,4,1,80,7,1,17-5202-54735,Humestone,,17-5202-54735 Humestone ,TRUE,3,
17-4553-53202,Indian ,48.03561,-81.60093,48,0,3,81,6,0,17-4553-53202,Indian,,17-4553-53202 Indian ,TRUE,3,
17-3788-53266,Ivanhoe ,48.08286,-82.62678,48,0,8,82,6,2,17-3788-53266,Ivanhoe,,17-3788-53266 Ivanhoe ,TRUE,3,
17-4464-53580,Jowsey ,48.3748,-81.72373,48,3,7,81,7,2,17-4464-53580,Jowsey,,17-4464-53580 Jowsey ,TRUE,3,
17-4533-53793,Kamiskotia ,48.56979,-81.63192,48,5,6,81,6,3,17-4533-53793,Kamiskotia,,17-4533-53793 Kamiskotia ,TRUE,3,
17-4714-53134,Kapiskong ,47.97534,-81.3826,47,9,7,81,3,8,17-4714-53134,Kapiskong,,17-4714-53134 Kapiskong ,TRUE,3,
17-3563-53717,Kapuskasing ,48.4837,-82.94457,48,4,8,82,9,4,17-3563-53717,Kapuskasing,,17-3563-53717 Kapuskasing ,TRUE,3,
17-4271-53064,Katagi ,47.90867,-81.96916,47,9,0,81,9,6,17-4271-53064,Katagi,,17-4271-53064 Katagi ,TRUE,3,
17-4591-53367,Kenogamissi ,48.24057,-81.52985,48,2,4,81,5,2,17-4591-53367,Kenogamissi,,17-4591-53367 Kenogamissi ,TRUE,3,
17-5547-55801,Kesagami ,50.32589,-80.24009,50,3,2,80,2,4,17-5547-55801,Kesagami,,17-5547-55801 Kesagami ,TRUE,3,
17-4322-53002,Ketchini ,47.85039,-81.90726,47,8,5,81,9,0,17-4322-53002,Ketchini,,17-4322-53002 Ketchini ,TRUE,3,
17-4972-55128,NA,49.77105,-81.03836,49,7,7,81,0,3,17-4972-55128,"NA",NA,17-4972-55128 NA,FALSE,2,
17-6102-53431,Labyrinth ,48.22945,-79.52172,48,2,2,79,5,2,17-6102-53431,Labyrinth,,17-6102-53431 Labyrinth ,TRUE,3,
17-6010-53265,Larder ,48.08541,-79.64223,48,0,8,79,6,4,17-6010-53265,Larder,,17-6010-53265 Larder ,TRUE,3,
17-5662-55201,Lawagamau ,49.83328,-80.07989,49,8,3,80,0,7,17-5662-55201,Lawagamau,,17-5662-55201 Lawagamau ,TRUE,3,
17-3638-52899,Lee ,47.75028,-82.82397,47,7,5,82,8,2,17-3638-52899,Lee,,17-3638-52899 Lee ,TRUE,3,
17-4572-54649,NA,49.33749,-81.58852,49,3,3,81,5,8,17-4572-54649,"NA",NA,17-4572-54649 NA,FALSE,2,
17-5331-54730,Little Abitibi ,49.4068,-80.54886,49,4,0,80,5,4,17-5331-54730,Little,Abitibi,17-5331-54730 Little Abitibi ,FALSE,4, 
17-5521-55108,Little Kesagami ,49.74674,-80.27486,49,7,4,80,2,7,17-5521-55108,Little,Kesagami,17-5521-55108 Little Kesagami ,FALSE,4, 
17-3730-53082,Little Ridley ,47.90407,-82.69446,47,9,0,82,6,9,17-3730-53082,Little,Ridley,17-3730-53082 Little Ridley ,FALSE,4, 
17-5004-53007,Lloyd ,47.85644,-81.0022,47,8,5,81,0,0,17-5004-53007,Lloyd,,17-5004-53007 Lloyd ,TRUE,3,
17-2953-54198,Lower Minnipuka ,48.8965,-83.79523,48,8,9,83,7,9,17-2953-54198,Lower,Minnipuka,17-2953-54198 Lower Minnipuka ,FALSE,4, 
17-3735-54954,Lyons ,49.60063,-82.7381,49,6,0,82,7,3,17-3735-54954,Lyons,,17-3735-54954 Lyons ,TRUE,3,
17-4372-52874,Makami ,47.73095,-81.84357,47,7,3,81,8,4,17-4372-52874,Makami,,17-4372-52874 Makami ,TRUE,3,
17-5271-54228,Maloney ,48.9598,-80.6298,48,9,5,80,6,2,17-5271-54228,Maloney,,17-5271-54228 Maloney ,TRUE,3,
17-4580-52980,Mattagami ,47.82548,-81.54069,47,8,2,81,5,4,17-4580-52980,Mattagami,,17-4580-52980 Mattagami ,TRUE,3,
17-3342-52966,McNaught ,47.80341,-83.21843,47,8,0,83,2,1,17-3342-52966,McNaught,,17-3342-52966 McNaught ,TRUE,3,
17-4340-52773,Mesomikenda ,47.64812,-81.87872,47,6,4,81,8,7,17-4340-52773,Mesomikenda,,17-4340-52773 Mesomikenda ,TRUE,3,
17-5234-53429,Michie ,48.24121,-80.68504,48,2,4,80,6,8,17-5234-53429,Michie,,17-5234-53429 Michie ,TRUE,3,
17-5208-52783,Miller ,47.66053,-80.72389,47,6,6,80,7,2,17-5208-52783,Miller,,17-5208-52783 Miller ,TRUE,3,
17-5196-53085,Mistinikon ,47.96607,-80.73921,47,9,6,80,7,3,17-5196-53085,Mistinikon,,17-5196-53085 Mistinikon ,TRUE,3,
17-5149-54886,Montreuil ,49.55267,-80.79031,49,5,5,80,7,9,17-5149-54886,Montreuil,,17-5149-54886 Montreuil ,TRUE,3,
17-4135-55308,Mowbray ,49.92544,-82.20465,49,9,2,82,2,0,17-4135-55308,Mowbray,,17-4135-55308 Mowbray ,TRUE,3,
17-4773-53267,Muskasenda ,48.09035,-81.30665,48,0,9,81,3,0,17-4773-53267,Muskasenda,,17-4773-53267 Muskasenda ,TRUE,3,
17-5325-55608,Natogami ,50.20248,-80.54211,50,2,0,80,5,4,17-5325-55608,Natogami,,17-5325-55608 Natogami ,TRUE,3,
17-3426-53189,Nemegosenda ,48.0062,-83.11013,48,0,0,83,1,1,17-3426-53189,Nemegosenda,,17-3426-53189 Nemegosenda ,TRUE,3,
17-5018-53686,Night Hawk ,48.45682,-80.98027,48,4,5,80,9,8,17-5018-53686,Night,Hawk,17-5018-53686 Night Hawk ,FALSE,4, 
17-4697-53049,Nursey ,47.89868,-81.40566,47,8,9,81,4,0,17-4697-53049,Nursey,,17-4697-53049 Nursey ,TRUE,3,
17-4357-54206,Oke ,48.9373,-81.87845,48,9,3,81,8,7,17-4357-54206,Oke,,17-4357-54206 Oke ,TRUE,3,
17-3441-54377,Opasatika ,49.06794,-83.13713,49,0,6,83,1,3,17-3441-54377,Opasatika,,17-3441-54377 Opasatika ,TRUE,3,
17-4061-52742,Opeepeesway ,47.62743,-82.23317,47,6,2,82,2,3,17-4061-52742,Opeepeesway,,17-4061-52742 Opeepeesway ,TRUE,3,
17-5952-55578,Parson ,50.17544,-79.67496,50,1,7,79,6,7,17-5952-55578,Parson,,17-5952-55578 Parson ,TRUE,3,
17-5604-55832,Patawagamau ,50.39524,-80.14937,50,3,9,80,1,4,17-5604-55832,Patawagamau,,17-5604-55832 Patawagamau ,TRUE,3,
17-4025-55006,Pearce ,49.65181,-82.35069,49,6,5,82,3,5,17-4025-55006,Pearce,,17-4025-55006 Pearce ,TRUE,3,
17-4217-52855,Pebonishewi ,47.7183,-82.04392,47,7,1,82,0,4,17-4217-52855,Pebonishewi,,17-4217-52855 Pebonishewi ,TRUE,3,
17-4967-54108,Pickerel ,48.8523,-81.04454,48,8,5,81,0,4,17-4967-54108,Pickerel,,17-4967-54108 Pickerel ,TRUE,3,
17-5206-54832,Pierre ,49.50777,-80.71202,49,5,0,80,7,1,17-5206-54832,Pierre,,17-5206-54832 Pierre ,TRUE,3,
17-5416-55645,Piyagoskogau ,50.23921,-80.41161,50,2,3,80,4,1,17-5416-55645,Piyagoskogau,,17-5416-55645 Piyagoskogau ,TRUE,3,
17-5000-54254,Pool ,48.98506,-80.9908,48,9,8,80,9,9,17-5000-54254,Pool,,17-5000-54254 Pool ,TRUE,3,
17-6036-54931,Poulos ,49.57521,-79.57016,49,5,7,79,5,7,17-6036-54931,Poulos,,17-6036-54931 Poulos ,TRUE,3,
17-5180-53389,Radisson ,48.21258,-80.75526,48,2,1,80,7,5,17-5180-53389,Radisson,,17-5180-53389 Radisson ,TRUE,3,
17-6079-53230,Raven ,48.05196,-79.55023,48,0,5,79,5,5,17-6079-53230,Raven,,17-6079-53230 Raven ,TRUE,3,
17-4164-54756,Remi ,49.42346,-82.17586,49,4,2,82,1,7,17-4164-54756,Remi,,17-4164-54756 Remi ,TRUE,3,
17-4239-52944,Resound ,47.789,-82.01482,47,7,8,82,0,1,17-4239-52944,Resound,,17-4239-52944 Resound ,TRUE,3,
17-4430-54264,Return ,48.98952,-81.77873,48,9,8,81,7,7,17-4430-54264,Return,,17-4430-54264 Return ,TRUE,3,
17-4148-52820,Rice ,47.70129,-82.1231,47,7,0,82,1,2,17-4148-52820,Rice,,17-4148-52820 Rice ,TRUE,3,
17-3767-53044,Rollo ,47.88286,-82.64873,47,8,8,82,6,4,17-3767-53044,Rollo,,17-3767-53044 Rollo ,TRUE,3,
17-5717-53183,Round ,48.01448,-80.0419,48,0,1,80,0,4,17-5717-53183,Round,,17-5717-53183 Round ,TRUE,3,
17-4104-52936,Rush ,47.79333,-82.19307,47,7,9,82,1,9,17-4104-52936,Rush,,17-4104-52936 Rush ,TRUE,3,
17-3846-54330,Saganash ,49.05064,-82.58198,49,0,5,82,5,8,17-3846-54330,Saganash,,17-3846-54330 Saganash ,TRUE,3,
17-5208-55103,NA,49.74688,-80.71109,49,7,4,80,7,1,17-5208-55103,"NA",NA,17-5208-55103 NA,FALSE,2,
17-4776-53163,Semple ,48.00111,-81.29998,48,0,0,81,2,9,17-4776-53163,Semple,,17-4776-53163 Semple ,TRUE,3,
17-3789-53526,Shawmere ,48.30137,-82.64391,48,3,0,82,6,4,17-3789-53526,Shawmere,,17-3789-53526 Shawmere ,TRUE,3,
17-5265-52901,Shillington ,47.76767,-80.64678,47,7,6,80,6,4,17-5265-52901,Shillington,,17-5265-52901 Shillington ,TRUE,3,
17-5247-53013,Sisseney ,47.86371,-80.66658,47,8,6,80,6,6,17-5247-53013,Sisseney,,17-5247-53013 Sisseney ,TRUE,3,
17-5646-54725,Snare ,49.40549,-80.10818,49,4,0,80,1,0,17-5646-54725,Snare,,17-5646-54725 Snare ,TRUE,3,
17-5962-53128,St. Anthony ,47.96541,-79.71119,47,9,6,79,7,1,17-5962-53128,St.,Anthony,17-5962-53128 St. Anthony ,FALSE,4, 
17-4558-52975,Stetham ,47.83174,-81.58983,47,8,3,81,5,8,17-4558-52975,Stetham,,17-4558-52975 Stetham ,TRUE,3,
17-5088-55586,Stringer ,50.18024,-80.87746,50,1,8,80,8,7,17-5088-55586,Stringer,,17-5088-55586 Stringer ,TRUE,3,
17-3844-53694,NA,48.46914,-82.56376,48,4,6,82,5,6,17-3844-53694,"NA",NA,17-3844-53694 NA,FALSE,2,
17-4323-52646,Three Duck s,47.54316,-81.90604,47,5,4,81,9,0,17-4323-52646,Three,Duck,17-4323-52646 Three Duck s,FALSE,4, s
17-3609-52882,NA,47.73454,-82.85545,47,7,3,82,8,5,17-3609-52882,"NA",NA,17-3609-52882 NA,FALSE,2,
17-5829-53372,Victoria ,48.18883,-79.88236,48,1,8,79,8,8,17-5829-53372,Victoria,,17-5829-53372 Victoria ,TRUE,3,
17-5590-54756,Wasicho ,49.43254,-80.1837,49,4,3,80,1,8,17-5590-54756,Wasicho,,17-5590-54756 Wasicho ,TRUE,3,
17-5314-53425,Watabeag ,48.24705,-80.55577,48,2,4,80,5,5,17-5314-53425,Watabeag,,17-5314-53425 Watabeag ,TRUE,3,
17-4169-55743,Wawa s,50.31715,-82.14715,50,3,1,82,1,4,17-4169-55743,Wawa,s,17-4169-55743 Wawa s,TRUE,3,
17-3790-55066,Zadi ,49.70011,-82.6798,49,7,0,82,6,7,17-3790-55066,Zadi,,17-3790-55066 Zadi ,TRUE,3,
16-7134-51997,Achigan ,46.91679,-84.19601,46,9,1,84,1,9,16-7134-51997,Achigan,,16-7134-51997 Achigan ,TRUE,3,
16-7046-52151,Adelaide ,47.05965,-84.31112,47,0,5,84,3,1,16-7046-52151,Adelaide,,16-7046-52151 Adelaide ,TRUE,3,
17-4414-51336,Agnew ,46.36526,-81.75464,46,3,6,81,7,5,17-4414-51336,Agnew,,17-4414-51336 Agnew ,TRUE,3,
17-3812-51598,Alexander ,46.58727,-82.54121,46,5,8,82,5,4,17-3812-51598,Alexander,,17-3812-51598 Alexander ,TRUE,3,
16-6809-53004,Anjigami ,47.851,-84.58297,47,8,5,84,5,8,16-6809-53004,Anjigami,,16-6809-53004 Anjigami ,TRUE,3,
17-3094-52159,Anvil ,47.07089,-83.51018,47,0,7,83,5,1,17-3094-52159,Anvil,,17-3094-52159 Anvil ,TRUE,3,
17-4396-51182,Apsey ,46.21762,-81.76881,46,2,1,81,7,6,17-4396-51182,Apsey,,17-4396-51182 Apsey ,TRUE,3,
17-3582-51582,Astonish ,46.56531,-82.85482,46,5,6,82,8,5,17-3582-51582,Astonish,,17-3582-51582 Astonish ,TRUE,3,
17-3340-51953,Aubrey ,46.90546,-83.18616,46,9,0,83,1,8,17-3340-51953,Aubrey,,17-3340-51953 Aubrey ,TRUE,3,
17-4823-52210,Avery ,47.14395,-81.23287,47,1,4,81,2,3,17-4823-52210,Avery,,17-4823-52210 Avery ,TRUE,3,
17-3874-51976,Bark ,46.91066,-82.46795,46,9,1,82,4,6,17-3874-51976,Bark,,17-3874-51976 Bark ,TRUE,3,
17-4263-50813,Bass ,45.89079,-81.94665,45,8,9,81,9,4,17-4263-50813,Bass,,17-4263-50813 Bass ,TRUE,3,
17-3164-51328,Basswood ,46.33314,-83.39658,46,3,3,83,3,9,17-3164-51328,Basswood,,17-3164-51328 Basswood ,TRUE,3,
17-3525-51431,Bay ,46.42728,-82.9196,46,4,2,82,9,1,17-3525-51431,Bay,,17-3525-51431 Bay ,TRUE,3,
17-3370-52303,Beak ,47.21363,-83.14591,47,2,1,83,1,4,17-3370-52303,Beak,,17-3370-52303 Beak ,TRUE,3,
17-4652-51149,Bear ,46.18806,-81.44897,46,1,8,81,4,4,17-4652-51149,Bear,,17-4652-51149 Bear ,TRUE,3,
16-6975-52452,NA,47.33267,-84.38602,47,3,3,84,3,8,16-6975-52452,"NA",NA,16-6975-52452 NA,FALSE,2,
17-4157-50648,Big ,45.73669,-82.08832,45,7,3,82,0,8,17-4157-50648,Big,,17-4157-50648 Big ,TRUE,3,
17-3557-51418,Big Moon ,46.41782,-82.87769,46,4,1,82,8,7,17-3557-51418,Big,Moon,17-3557-51418 Big Moon ,FALSE,4, 
17-4936-51883,Bigwood ,46.84458,-81.09413,46,8,4,81,0,9,17-4936-51883,Bigwood,,17-4936-51883 Bigwood ,TRUE,3,
17-4182-52388,Biscotasi ,47.29951,-82.08179,47,2,9,82,0,8,17-4182-52388,Biscotasi,,17-4182-52388 Biscotasi ,TRUE,3,
16-7223-51585,Boss ,46.54506,-84.10111,46,5,4,84,1,0,16-7223-51585,Boss,,16-7223-51585 Boss ,TRUE,3,
17-3914-51928,Boumage ,46.87978,-82.42729,46,8,7,82,4,2,17-3914-51928,Boumage,,17-3914-51928 Boumage ,TRUE,3,
