lakeName,latARU,latBsM,longARU,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID
Kwagama,472620,47.44016,843456,-84.58345,47,2,6,47,4,4,84,3,4,84,5,8,16-6823-52566,16-6823-52566
Kwinkwaga,484828,48.80786,851956,-85.33219,48,4,8,48,8,0,85,1,9,85,3,3,16-6225-54072,16-6225-54072
La Cloche,460840,46.135,820434,-82.04774,46,0,8,46,1,3,82,0,4,82,0,4,17-4169-51104,17-4169-51104
Lac Seul,501930,50.40282,922913,-92.47874,50,1,9,50,4,0,92,2,9,92,4,7,15-5365-55747,15-5365-55747
Lac des Iles,491208,49.20226,893617,-89.61011,49,1,2,49,2,0,89,3,6,89,6,1,16-3103-54530,16-3103-54530
Lac des Mille Lacs,485057,48.87653,903037,-90.51282,48,5,0,48,8,7,90,3,0,90,5,1,15-6826-54135,15-6827-54135
Lady Evelyn,471834,47.35053,801146,-80.14644,47,1,8,47,3,5,80,1,1,80,1,4,17-5608-52397,17-5608-52396
Lake of Bays,451521,49.98409,790009,-91.28781,45,1,5,49,9,8,79,0,0,91,2,8,17-6567-50131,15-6207-55385
Lake of Bays,451521,45.25269,790009,-79.0313,45,1,5,45,2,5,79,0,0,79,0,3,17-6567-50131,17-6567-50131
Lake of Bays,495920,49.98409,911859,-91.28781,49,5,9,49,9,8,91,1,8,91,2,8,15-6207-55385,15-6207-55385
Lake of Bays,495920,45.25269,911859,-79.0313,49,5,9,45,2,5,91,1,8,79,0,3,15-6207-55385,17-6567-50131
Lang,460954,46.16152,814002,-81.66548,46,0,9,46,1,6,81,4,0,81,6,6,17-4485-51124,17-4485-51124
Lang,461632,46.16152,821935,-81.66548,46,1,6,46,1,6,82,1,9,81,6,6,17-3978-51253,17-4485-51124
Lang,490422,46.16152,902534,-81.66548,49,0,4,46,1,6,90,2,5,81,6,6,15-6880-54385,17-4485-51124
Lang,513459,46.16152,913106,-81.66548,51,3,4,46,1,6,91,3,1,81,6,6,15-6027-57155,17-4485-51124
Langford,452714,45.454,791717,-79.28835,45,2,7,45,4,5,79,1,7,79,2,8,17-6339-50346,17-6339-50346
Larder,480508,48.08541,793837,-79.64223,48,0,5,48,0,8,79,3,8,79,6,4,17-6010-53265,17-6010-53265
Larson,453747,49.63867,791729,-92.61703,45,3,7,49,6,3,79,1,7,92,6,1,17-6332-50541,15-5276-54985
Larson,493826,49.63867,923705,-92.61703,49,3,8,49,6,3,92,3,7,92,6,1,15-5276-54985,15-5276-54985
Lauzon,461251,46.21199,824932,-82.82266,46,1,2,46,2,1,82,4,9,82,8,2,17-3592-51192,17-3592-51192
Lauzon,490729,46.21199,805856,-82.82266,49,0,7,46,2,1,80,5,8,82,8,2,17-5013-54411,17-3592-51192
Lawagamau,494955,49.83328,800446,-80.07989,49,4,9,49,8,3,80,0,4,80,0,7,17-5662-55201,17-5662-55201
Lawrence,452944,49.27504,783125,-93.36566,45,2,9,49,2,7,78,3,1,93,3,6,17-6935-50408,15-4729-54570
Lawrence,491603,49.27504,932223,-93.36566,49,1,6,49,2,7,93,2,2,93,3,6,15-4729-54570,15-4729-54570
Leatherroot,451025,45.17317,771235,-77.20911,45,1,0,45,1,7,77,1,2,77,2,0,18-3264-50044,18-3264-50044
Lee,482433,47.75028,824202,-82.82397,48,2,4,47,7,5,82,4,2,82,8,2,17-3741-53630,17-3638-52899
Lee,505602,47.75028,941020,-82.82397,50,5,6,47,7,5,94,1,0,82,8,2,15-4176-56429,17-3638-52899
Leishman,464244,46.71227,835727,-83.95743,46,4,2,46,7,1,83,5,7,83,9,5,17-2740-51772,17-2739-51772
Lena,480304,48.05118,844059,-84.683,48,0,3,48,0,5,84,4,0,84,6,8,16-6727-53244,16-6727-53244
Lilac,481754,48.29901,922226,-92.37509,48,1,7,48,2,9,92,2,2,92,3,7,15-5464-53494,15-5464-53494
Lingman,535111,53.85483,925155,-92.85197,53,5,1,53,8,5,92,5,1,92,8,5,15-5089-59670,15-5089-59670
Little,445333,44.42642,792805,-79.67346,44,5,3,44,4,2,79,2,8,79,6,7,17-6210-49719,17-6058-49199
Little,445333,44.81843,792805,-79.7132,44,5,3,44,8,1,79,2,8,79,7,1,17-6210-49719,17-6016-49633
Little,445333,44.95967,792805,-81.21941,44,5,3,44,9,5,79,2,8,81,2,1,17-6210-49719,17-4829-49772
Little,445333,44.29649,792805,-78.31027,44,5,3,44,2,9,79,2,8,78,3,1,17-6210-49719,17-7146-49082
Little,443650,44.42642,761525,-79.67346,44,3,6,44,4,2,76,1,5,79,6,7,18-4003-49406,17-6058-49199
Little,443650,44.81843,761525,-79.7132,44,3,6,44,8,1,76,1,5,79,7,1,18-4003-49406,17-6016-49633
