lakeName,latARU,latBsM,longARU,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID
NA,445950,48.68681,772207,-88.92751,44,5,9,48,6,8,77,2,2,88,9,2,18-3133-49852,16-3582-53944
NA,445950,49.84691,772207,-90.27474,44,5,9,49,8,4,77,2,2,90,2,7,18-3133-49852,15-6959-55251
NA,445950,48.7435,772207,-90.60175,44,5,9,48,7,4,77,2,2,90,6,0,18-3133-49852,15-6763-54017
NA,445950,48.72577,772207,-88.25103,44,5,9,48,7,2,77,2,2,88,2,5,18-3133-49852,16-4080-53975
NA,445950,48.66914,772207,-88.99708,44,5,9,48,6,6,77,2,2,88,9,9,18-3133-49852,16-3530-53926
NA,445950,49.33108,772207,-89.98319,44,5,9,49,3,3,77,2,2,89,9,8,18-3133-49852,16-2832-54685
NA,445950,45.51274,772207,-80.08817,44,5,9,45,5,1,77,2,2,80,0,8,18-3133-49852,17-5717-50405
NA,445950,44.47321,772207,-78.41617,44,5,9,44,4,7,77,2,2,78,4,1,18-3133-49852,17-7055-49277
NA,445950,44.91805,772207,-77.19745,44,5,9,44,9,1,77,2,2,77,1,9,18-3133-49852,18-3267-49749
NA,445950,53.9739,772207,-86.25172,44,5,9,53,9,7,77,2,2,86,2,5,18-3138-49840,16-5494-59810
NA,445950,49.90421,772207,-80.03334,44,5,9,49,9,0,77,2,2,80,0,3,18-3138-49840,17-5694-55282
NA,445950,49.77105,772207,-81.03836,44,5,9,49,7,7,77,2,2,81,0,3,18-3138-49840,17-4972-55128
NA,445950,49.33749,772207,-81.58852,44,5,9,49,3,3,77,2,2,81,5,8,18-3138-49840,17-4572-54649
NA,445950,49.74688,772207,-80.71109,44,5,9,49,7,4,77,2,2,80,7,1,18-3138-49840,17-5208-55103
NA,445950,48.46914,772207,-82.56376,44,5,9,48,4,6,77,2,2,82,5,6,18-3138-49840,17-3844-53694
NA,445950,47.73454,772207,-82.85545,44,5,9,47,7,3,77,2,2,82,8,5,18-3138-49840,17-3609-52882
NA,445950,47.33267,772207,-84.38602,44,5,9,47,3,3,77,2,2,84,3,8,18-3138-49840,16-6975-52452
NA,445950,46.85428,772207,-83.03,44,5,9,46,8,5,77,2,2,83,0,3,18-3138-49840,17-3453-51907
NA,445950,46.94007,772207,-81.21003,44,5,9,46,9,4,77,2,2,81,2,1,18-3138-49840,17-4840-51983
NA,445950,51.14351,772207,-87.96643,44,5,9,51,1,4,77,2,2,87,9,6,18-3138-49840,16-4324-56660
NA,445950,53.13145,772207,-88.30604,44,5,9,53,1,3,77,2,2,88,3,0,18-3138-49840,16-4137-58866
NA,445950,51.07751,772207,-92.21266,44,5,9,51,0,7,77,2,2,92,2,1,18-3138-49840,15-5552-56587
NA,445950,50.77244,772207,-93.35925,44,5,9,50,7,7,77,2,2,93,3,5,18-3138-49840,15-4747-56248
NA,445950,51.01365,772207,-91.87832,44,5,9,51,0,1,77,2,2,91,8,7,18-3138-49840,15-5787-56519
NA,445950,51.43954,772207,-91.98849,44,5,9,51,4,3,77,2,2,91,9,8,18-3138-49840,15-5703-56992
NA,445950,50.23158,772207,-92.91464,44,5,9,50,2,3,77,2,2,92,9,1,18-3138-49840,15-5060-55643
NA,445950,51.39459,772207,-92.99692,44,5,9,51,3,9,77,2,2,92,9,9,18-3138-49840,15-5001-56935
NA,445950,49.66803,772207,-91.95766,44,5,9,49,6,6,77,2,2,91,9,5,18-3138-49840,15-5752-55022
NA,445950,50.04994,772207,-94.11017,44,5,9,50,0,4,77,2,2,94,1,1,18-3138-49840,15-4205-55446
NA,445950,50.42502,772207,-94.68222,44,5,9,50,4,2,77,2,2,94,6,8,18-3138-49840,15-3805-55872
NA,445950,49.04998,772207,-92.1326,44,5,9,49,0,4,77,2,2,92,1,3,18-3138-49840,15-5634-54332
NA,445950,49.47489,772207,-93.8864,44,5,9,49,4,7,77,2,2,93,8,8,18-3138-49840,15-4356-54806
NA,445950,49.31937,772207,-92.05985,44,5,9,49,3,1,77,2,2,92,0,5,18-3138-49840,15-5684-54631
NA,445950,49.0399,772207,-92.30277,44,5,9,49,0,3,77,2,2,92,3,0,18-3138-49840,15-5510-54322
NA,445950,50.02724,772207,-89.98958,44,5,9,50,0,2,77,2,2,89,9,8,18-3138-49840,16-2858-55459
NA,445950,48.68681,772207,-88.92751,44,5,9,48,6,8,77,2,2,88,9,2,18-3138-49840,16-3582-53944
NA,445950,49.84691,772207,-90.27474,44,5,9,49,8,4,77,2,2,90,2,7,18-3138-49840,15-6959-55251
NA,445950,48.7435,772207,-90.60175,44,5,9,48,7,4,77,2,2,90,6,0,18-3138-49840,15-6763-54017
NA,445950,48.72577,772207,-88.25103,44,5,9,48,7,2,77,2,2,88,2,5,18-3138-49840,16-4080-53975
NA,445950,48.66914,772207,-88.99708,44,5,9,48,6,6,77,2,2,88,9,9,18-3138-49840,16-3530-53926
NA,445950,49.33108,772207,-89.98319,44,5,9,49,3,3,77,2,2,89,9,8,18-3138-49840,16-2832-54685
NA,445950,45.51274,772207,-80.08817,44,5,9,45,5,1,77,2,2,80,0,8,18-3138-49840,17-5717-50405
NA,445950,44.47321,772207,-78.41617,44,5,9,44,4,7,77,2,2,78,4,1,18-3138-49840,17-7055-49277
NA,445950,44.91805,772207,-77.19745,44,5,9,44,9,1,77,2,2,77,1,9,18-3138-49840,18-3267-49749
NA,443752,53.9739,770533,-86.25172,44,3,7,53,9,7,77,0,5,86,2,5,18-3340-49439,16-5494-59810
NA,443752,49.90421,770533,-80.03334,44,3,7,49,9,0,77,0,5,80,0,3,18-3340-49439,17-5694-55282
NA,443752,49.77105,770533,-81.03836,44,3,7,49,7,7,77,0,5,81,0,3,18-3340-49439,17-4972-55128
NA,443752,49.33749,770533,-81.58852,44,3,7,49,3,3,77,0,5,81,5,8,18-3340-49439,17-4572-54649
NA,443752,49.74688,770533,-80.71109,44,3,7,49,7,4,77,0,5,80,7,1,18-3340-49439,17-5208-55103
NA,443752,48.46914,770533,-82.56376,44,3,7,48,4,6,77,0,5,82,5,6,18-3340-49439,17-3844-53694
NA,443752,47.73454,770533,-82.85545,44,3,7,47,7,3,77,0,5,82,8,5,18-3340-49439,17-3609-52882
NA,443752,47.33267,770533,-84.38602,44,3,7,47,3,3,77,0,5,84,3,8,18-3340-49439,16-6975-52452
NA,443752,46.85428,770533,-83.03,44,3,7,46,8,5,77,0,5,83,0,3,18-3340-49439,17-3453-51907
NA,443752,46.94007,770533,-81.21003,44,3,7,46,9,4,77,0,5,81,2,1,18-3340-49439,17-4840-51983
NA,443752,51.14351,770533,-87.96643,44,3,7,51,1,4,77,0,5,87,9,6,18-3340-49439,16-4324-56660
NA,443752,53.13145,770533,-88.30604,44,3,7,53,1,3,77,0,5,88,3,0,18-3340-49439,16-4137-58866
NA,443752,51.07751,770533,-92.21266,44,3,7,51,0,7,77,0,5,92,2,1,18-3340-49439,15-5552-56587
NA,443752,50.77244,770533,-93.35925,44,3,7,50,7,7,77,0,5,93,3,5,18-3340-49439,15-4747-56248
NA,443752,51.01365,770533,-91.87832,44,3,7,51,0,1,77,0,5,91,8,7,18-3340-49439,15-5787-56519
NA,443752,51.43954,770533,-91.98849,44,3,7,51,4,3,77,0,5,91,9,8,18-3340-49439,15-5703-56992
NA,443752,50.23158,770533,-92.91464,44,3,7,50,2,3,77,0,5,92,9,1,18-3340-49439,15-5060-55643
NA,443752,51.39459,770533,-92.99692,44,3,7,51,3,9,77,0,5,92,9,9,18-3340-49439,15-5001-56935
NA,443752,49.66803,770533,-91.95766,44,3,7,49,6,6,77,0,5,91,9,5,18-3340-49439,15-5752-55022
NA,443752,50.04994,770533,-94.11017,44,3,7,50,0,4,77,0,5,94,1,1,18-3340-49439,15-4205-55446
NA,443752,50.42502,770533,-94.68222,44,3,7,50,4,2,77,0,5,94,6,8,18-3340-49439,15-3805-55872
NA,443752,49.04998,770533,-92.1326,44,3,7,49,0,4,77,0,5,92,1,3,18-3340-49439,15-5634-54332
NA,443752,49.47489,770533,-93.8864,44,3,7,49,4,7,77,0,5,93,8,8,18-3340-49439,15-4356-54806
NA,443752,49.31937,770533,-92.05985,44,3,7,49,3,1,77,0,5,92,0,5,18-3340-49439,15-5684-54631
NA,443752,49.0399,770533,-92.30277,44,3,7,49,0,3,77,0,5,92,3,0,18-3340-49439,15-5510-54322
NA,443752,50.02724,770533,-89.98958,44,3,7,50,0,2,77,0,5,89,9,8,18-3340-49439,16-2858-55459
NA,443752,48.68681,770533,-88.92751,44,3,7,48,6,8,77,0,5,88,9,2,18-3340-49439,16-3582-53944
NA,443752,49.84691,770533,-90.27474,44,3,7,49,8,4,77,0,5,90,2,7,18-3340-49439,15-6959-55251
NA,443752,48.7435,770533,-90.60175,44,3,7,48,7,4,77,0,5,90,6,0,18-3340-49439,15-6763-54017
NA,443752,48.72577,770533,-88.25103,44,3,7,48,7,2,77,0,5,88,2,5,18-3340-49439,16-4080-53975
NA,443752,48.66914,770533,-88.99708,44,3,7,48,6,6,77,0,5,88,9,9,18-3340-49439,16-3530-53926
NA,443752,49.33108,770533,-89.98319,44,3,7,49,3,3,77,0,5,89,9,8,18-3340-49439,16-2832-54685
NA,443752,45.51274,770533,-80.08817,44,3,7,45,5,1,77,0,5,80,0,8,18-3340-49439,17-5717-50405
NA,443752,44.47321,770533,-78.41617,44,3,7,44,4,7,77,0,5,78,4,1,18-3340-49439,17-7055-49277
NA,443752,44.91805,770533,-77.19745,44,3,7,44,9,1,77,0,5,77,1,9,18-3340-49439,18-3267-49749
NA,443752,53.9739,770533,-86.25172,44,3,7,53,9,7,77,0,5,86,2,5,18-3344-49445,16-5494-59810
NA,443752,49.90421,770533,-80.03334,44,3,7,49,9,0,77,0,5,80,0,3,18-3344-49445,17-5694-55282
NA,443752,49.77105,770533,-81.03836,44,3,7,49,7,7,77,0,5,81,0,3,18-3344-49445,17-4972-55128
NA,443752,49.33749,770533,-81.58852,44,3,7,49,3,3,77,0,5,81,5,8,18-3344-49445,17-4572-54649
NA,443752,49.74688,770533,-80.71109,44,3,7,49,7,4,77,0,5,80,7,1,18-3344-49445,17-5208-55103
NA,443752,48.46914,770533,-82.56376,44,3,7,48,4,6,77,0,5,82,5,6,18-3344-49445,17-3844-53694
NA,443752,47.73454,770533,-82.85545,44,3,7,47,7,3,77,0,5,82,8,5,18-3344-49445,17-3609-52882
NA,443752,47.33267,770533,-84.38602,44,3,7,47,3,3,77,0,5,84,3,8,18-3344-49445,16-6975-52452
NA,443752,46.85428,770533,-83.03,44,3,7,46,8,5,77,0,5,83,0,3,18-3344-49445,17-3453-51907
NA,443752,46.94007,770533,-81.21003,44,3,7,46,9,4,77,0,5,81,2,1,18-3344-49445,17-4840-51983
NA,443752,51.14351,770533,-87.96643,44,3,7,51,1,4,77,0,5,87,9,6,18-3344-49445,16-4324-56660
NA,443752,53.13145,770533,-88.30604,44,3,7,53,1,3,77,0,5,88,3,0,18-3344-49445,16-4137-58866
NA,443752,51.07751,770533,-92.21266,44,3,7,51,0,7,77,0,5,92,2,1,18-3344-49445,15-5552-56587
NA,443752,50.77244,770533,-93.35925,44,3,7,50,7,7,77,0,5,93,3,5,18-3344-49445,15-4747-56248
NA,443752,51.01365,770533,-91.87832,44,3,7,51,0,1,77,0,5,91,8,7,18-3344-49445,15-5787-56519
NA,443752,51.43954,770533,-91.98849,44,3,7,51,4,3,77,0,5,91,9,8,18-3344-49445,15-5703-56992
NA,443752,50.23158,770533,-92.91464,44,3,7,50,2,3,77,0,5,92,9,1,18-3344-49445,15-5060-55643
NA,443752,51.39459,770533,-92.99692,44,3,7,51,3,9,77,0,5,92,9,9,18-3344-49445,15-5001-56935
NA,443752,49.66803,770533,-91.95766,44,3,7,49,6,6,77,0,5,91,9,5,18-3344-49445,15-5752-55022
NA,443752,50.04994,770533,-94.11017,44,3,7,50,0,4,77,0,5,94,1,1,18-3344-49445,15-4205-55446
NA,443752,50.42502,770533,-94.68222,44,3,7,50,4,2,77,0,5,94,6,8,18-3344-49445,15-3805-55872
NA,443752,49.04998,770533,-92.1326,44,3,7,49,0,4,77,0,5,92,1,3,18-3344-49445,15-5634-54332
NA,443752,49.47489,770533,-93.8864,44,3,7,49,4,7,77,0,5,93,8,8,18-3344-49445,15-4356-54806
NA,443752,49.31937,770533,-92.05985,44,3,7,49,3,1,77,0,5,92,0,5,18-3344-49445,15-5684-54631
NA,443752,49.0399,770533,-92.30277,44,3,7,49,0,3,77,0,5,92,3,0,18-3344-49445,15-5510-54322
NA,443752,50.02724,770533,-89.98958,44,3,7,50,0,2,77,0,5,89,9,8,18-3344-49445,16-2858-55459
NA,443752,48.68681,770533,-88.92751,44,3,7,48,6,8,77,0,5,88,9,2,18-3344-49445,16-3582-53944
NA,443752,49.84691,770533,-90.27474,44,3,7,49,8,4,77,0,5,90,2,7,18-3344-49445,15-6959-55251
NA,443752,48.7435,770533,-90.60175,44,3,7,48,7,4,77,0,5,90,6,0,18-3344-49445,15-6763-54017
NA,443752,48.72577,770533,-88.25103,44,3,7,48,7,2,77,0,5,88,2,5,18-3344-49445,16-4080-53975
NA,443752,48.66914,770533,-88.99708,44,3,7,48,6,6,77,0,5,88,9,9,18-3344-49445,16-3530-53926
NA,443752,49.33108,770533,-89.98319,44,3,7,49,3,3,77,0,5,89,9,8,18-3344-49445,16-2832-54685
NA,443752,45.51274,770533,-80.08817,44,3,7,45,5,1,77,0,5,80,0,8,18-3344-49445,17-5717-50405
NA,443752,44.47321,770533,-78.41617,44,3,7,44,4,7,77,0,5,78,4,1,18-3344-49445,17-7055-49277
NA,443752,44.91805,770533,-77.19745,44,3,7,44,9,1,77,0,5,77,1,9,18-3344-49445,18-3267-49749
NA,443752,53.9739,770533,-86.25172,44,3,7,53,9,7,77,0,5,86,2,5,18-3353-49454,16-5494-59810
NA,443752,49.90421,770533,-80.03334,44,3,7,49,9,0,77,0,5,80,0,3,18-3353-49454,17-5694-55282
NA,443752,49.77105,770533,-81.03836,44,3,7,49,7,7,77,0,5,81,0,3,18-3353-49454,17-4972-55128
NA,443752,49.33749,770533,-81.58852,44,3,7,49,3,3,77,0,5,81,5,8,18-3353-49454,17-4572-54649
NA,443752,49.74688,770533,-80.71109,44,3,7,49,7,4,77,0,5,80,7,1,18-3353-49454,17-5208-55103
NA,443752,48.46914,770533,-82.56376,44,3,7,48,4,6,77,0,5,82,5,6,18-3353-49454,17-3844-53694
NA,443752,47.73454,770533,-82.85545,44,3,7,47,7,3,77,0,5,82,8,5,18-3353-49454,17-3609-52882
NA,443752,47.33267,770533,-84.38602,44,3,7,47,3,3,77,0,5,84,3,8,18-3353-49454,16-6975-52452
NA,443752,46.85428,770533,-83.03,44,3,7,46,8,5,77,0,5,83,0,3,18-3353-49454,17-3453-51907
NA,443752,46.94007,770533,-81.21003,44,3,7,46,9,4,77,0,5,81,2,1,18-3353-49454,17-4840-51983
NA,443752,51.14351,770533,-87.96643,44,3,7,51,1,4,77,0,5,87,9,6,18-3353-49454,16-4324-56660
NA,443752,53.13145,770533,-88.30604,44,3,7,53,1,3,77,0,5,88,3,0,18-3353-49454,16-4137-58866
NA,443752,51.07751,770533,-92.21266,44,3,7,51,0,7,77,0,5,92,2,1,18-3353-49454,15-5552-56587
NA,443752,50.77244,770533,-93.35925,44,3,7,50,7,7,77,0,5,93,3,5,18-3353-49454,15-4747-56248
NA,443752,51.01365,770533,-91.87832,44,3,7,51,0,1,77,0,5,91,8,7,18-3353-49454,15-5787-56519
NA,443752,51.43954,770533,-91.98849,44,3,7,51,4,3,77,0,5,91,9,8,18-3353-49454,15-5703-56992
NA,443752,50.23158,770533,-92.91464,44,3,7,50,2,3,77,0,5,92,9,1,18-3353-49454,15-5060-55643
NA,443752,51.39459,770533,-92.99692,44,3,7,51,3,9,77,0,5,92,9,9,18-3353-49454,15-5001-56935
NA,443752,49.66803,770533,-91.95766,44,3,7,49,6,6,77,0,5,91,9,5,18-3353-49454,15-5752-55022
NA,443752,50.04994,770533,-94.11017,44,3,7,50,0,4,77,0,5,94,1,1,18-3353-49454,15-4205-55446
NA,443752,50.42502,770533,-94.68222,44,3,7,50,4,2,77,0,5,94,6,8,18-3353-49454,15-3805-55872
NA,443752,49.04998,770533,-92.1326,44,3,7,49,0,4,77,0,5,92,1,3,18-3353-49454,15-5634-54332
NA,443752,49.47489,770533,-93.8864,44,3,7,49,4,7,77,0,5,93,8,8,18-3353-49454,15-4356-54806
NA,443752,49.31937,770533,-92.05985,44,3,7,49,3,1,77,0,5,92,0,5,18-3353-49454,15-5684-54631
NA,443752,49.0399,770533,-92.30277,44,3,7,49,0,3,77,0,5,92,3,0,18-3353-49454,15-5510-54322
NA,443752,50.02724,770533,-89.98958,44,3,7,50,0,2,77,0,5,89,9,8,18-3353-49454,16-2858-55459
NA,443752,48.68681,770533,-88.92751,44,3,7,48,6,8,77,0,5,88,9,2,18-3353-49454,16-3582-53944
NA,443752,49.84691,770533,-90.27474,44,3,7,49,8,4,77,0,5,90,2,7,18-3353-49454,15-6959-55251
NA,443752,48.7435,770533,-90.60175,44,3,7,48,7,4,77,0,5,90,6,0,18-3353-49454,15-6763-54017
NA,443752,48.72577,770533,-88.25103,44,3,7,48,7,2,77,0,5,88,2,5,18-3353-49454,16-4080-53975
NA,443752,48.66914,770533,-88.99708,44,3,7,48,6,6,77,0,5,88,9,9,18-3353-49454,16-3530-53926
NA,443752,49.33108,770533,-89.98319,44,3,7,49,3,3,77,0,5,89,9,8,18-3353-49454,16-2832-54685
NA,443752,45.51274,770533,-80.08817,44,3,7,45,5,1,77,0,5,80,0,8,18-3353-49454,17-5717-50405
NA,443752,44.47321,770533,-78.41617,44,3,7,44,4,7,77,0,5,78,4,1,18-3353-49454,17-7055-49277
NA,443752,44.91805,770533,-77.19745,44,3,7,44,9,1,77,0,5,77,1,9,18-3353-49454,18-3267-49749
NA,443752,53.9739,770533,-86.25172,44,3,7,53,9,7,77,0,5,86,2,5,18-3359-49461,16-5494-59810
NA,443752,49.90421,770533,-80.03334,44,3,7,49,9,0,77,0,5,80,0,3,18-3359-49461,17-5694-55282
NA,443752,49.77105,770533,-81.03836,44,3,7,49,7,7,77,0,5,81,0,3,18-3359-49461,17-4972-55128
NA,443752,49.33749,770533,-81.58852,44,3,7,49,3,3,77,0,5,81,5,8,18-3359-49461,17-4572-54649
NA,443752,49.74688,770533,-80.71109,44,3,7,49,7,4,77,0,5,80,7,1,18-3359-49461,17-5208-55103
NA,443752,48.46914,770533,-82.56376,44,3,7,48,4,6,77,0,5,82,5,6,18-3359-49461,17-3844-53694
NA,443752,47.73454,770533,-82.85545,44,3,7,47,7,3,77,0,5,82,8,5,18-3359-49461,17-3609-52882
NA,443752,47.33267,770533,-84.38602,44,3,7,47,3,3,77,0,5,84,3,8,18-3359-49461,16-6975-52452
NA,443752,46.85428,770533,-83.03,44,3,7,46,8,5,77,0,5,83,0,3,18-3359-49461,17-3453-51907
NA,443752,46.94007,770533,-81.21003,44,3,7,46,9,4,77,0,5,81,2,1,18-3359-49461,17-4840-51983
NA,443752,51.14351,770533,-87.96643,44,3,7,51,1,4,77,0,5,87,9,6,18-3359-49461,16-4324-56660
NA,443752,53.13145,770533,-88.30604,44,3,7,53,1,3,77,0,5,88,3,0,18-3359-49461,16-4137-58866
NA,443752,51.07751,770533,-92.21266,44,3,7,51,0,7,77,0,5,92,2,1,18-3359-49461,15-5552-56587
NA,443752,50.77244,770533,-93.35925,44,3,7,50,7,7,77,0,5,93,3,5,18-3359-49461,15-4747-56248
NA,443752,51.01365,770533,-91.87832,44,3,7,51,0,1,77,0,5,91,8,7,18-3359-49461,15-5787-56519
NA,443752,51.43954,770533,-91.98849,44,3,7,51,4,3,77,0,5,91,9,8,18-3359-49461,15-5703-56992
NA,443752,50.23158,770533,-92.91464,44,3,7,50,2,3,77,0,5,92,9,1,18-3359-49461,15-5060-55643
NA,443752,51.39459,770533,-92.99692,44,3,7,51,3,9,77,0,5,92,9,9,18-3359-49461,15-5001-56935
NA,443752,49.66803,770533,-91.95766,44,3,7,49,6,6,77,0,5,91,9,5,18-3359-49461,15-5752-55022
NA,443752,50.04994,770533,-94.11017,44,3,7,50,0,4,77,0,5,94,1,1,18-3359-49461,15-4205-55446
NA,443752,50.42502,770533,-94.68222,44,3,7,50,4,2,77,0,5,94,6,8,18-3359-49461,15-3805-55872
NA,443752,49.04998,770533,-92.1326,44,3,7,49,0,4,77,0,5,92,1,3,18-3359-49461,15-5634-54332
NA,443752,49.47489,770533,-93.8864,44,3,7,49,4,7,77,0,5,93,8,8,18-3359-49461,15-4356-54806
NA,443752,49.31937,770533,-92.05985,44,3,7,49,3,1,77,0,5,92,0,5,18-3359-49461,15-5684-54631
NA,443752,49.0399,770533,-92.30277,44,3,7,49,0,3,77,0,5,92,3,0,18-3359-49461,15-5510-54322
NA,443752,50.02724,770533,-89.98958,44,3,7,50,0,2,77,0,5,89,9,8,18-3359-49461,16-2858-55459
NA,443752,48.68681,770533,-88.92751,44,3,7,48,6,8,77,0,5,88,9,2,18-3359-49461,16-3582-53944
NA,443752,49.84691,770533,-90.27474,44,3,7,49,8,4,77,0,5,90,2,7,18-3359-49461,15-6959-55251
NA,443752,48.7435,770533,-90.60175,44,3,7,48,7,4,77,0,5,90,6,0,18-3359-49461,15-6763-54017
NA,443752,48.72577,770533,-88.25103,44,3,7,48,7,2,77,0,5,88,2,5,18-3359-49461,16-4080-53975
NA,443752,48.66914,770533,-88.99708,44,3,7,48,6,6,77,0,5,88,9,9,18-3359-49461,16-3530-53926
NA,443752,49.33108,770533,-89.98319,44,3,7,49,3,3,77,0,5,89,9,8,18-3359-49461,16-2832-54685
NA,443752,45.51274,770533,-80.08817,44,3,7,45,5,1,77,0,5,80,0,8,18-3359-49461,17-5717-50405
NA,443752,44.47321,770533,-78.41617,44,3,7,44,4,7,77,0,5,78,4,1,18-3359-49461,17-7055-49277
NA,443752,44.91805,770533,-77.19745,44,3,7,44,9,1,77,0,5,77,1,9,18-3359-49461,18-3267-49749
NA,444549,53.9739,763920,-86.25172,44,4,5,53,9,7,76,3,9,86,2,5,18-3645-49580,16-5494-59810
NA,444549,49.90421,763920,-80.03334,44,4,5,49,9,0,76,3,9,80,0,3,18-3645-49580,17-5694-55282
NA,444549,49.77105,763920,-81.03836,44,4,5,49,7,7,76,3,9,81,0,3,18-3645-49580,17-4972-55128
NA,444549,49.33749,763920,-81.58852,44,4,5,49,3,3,76,3,9,81,5,8,18-3645-49580,17-4572-54649
NA,444549,49.74688,763920,-80.71109,44,4,5,49,7,4,76,3,9,80,7,1,18-3645-49580,17-5208-55103
NA,444549,48.46914,763920,-82.56376,44,4,5,48,4,6,76,3,9,82,5,6,18-3645-49580,17-3844-53694
NA,444549,47.73454,763920,-82.85545,44,4,5,47,7,3,76,3,9,82,8,5,18-3645-49580,17-3609-52882
NA,444549,47.33267,763920,-84.38602,44,4,5,47,3,3,76,3,9,84,3,8,18-3645-49580,16-6975-52452
NA,444549,46.85428,763920,-83.03,44,4,5,46,8,5,76,3,9,83,0,3,18-3645-49580,17-3453-51907
NA,444549,46.94007,763920,-81.21003,44,4,5,46,9,4,76,3,9,81,2,1,18-3645-49580,17-4840-51983
NA,444549,51.14351,763920,-87.96643,44,4,5,51,1,4,76,3,9,87,9,6,18-3645-49580,16-4324-56660
NA,444549,53.13145,763920,-88.30604,44,4,5,53,1,3,76,3,9,88,3,0,18-3645-49580,16-4137-58866
NA,444549,51.07751,763920,-92.21266,44,4,5,51,0,7,76,3,9,92,2,1,18-3645-49580,15-5552-56587
NA,444549,50.77244,763920,-93.35925,44,4,5,50,7,7,76,3,9,93,3,5,18-3645-49580,15-4747-56248
NA,444549,51.01365,763920,-91.87832,44,4,5,51,0,1,76,3,9,91,8,7,18-3645-49580,15-5787-56519
NA,444549,51.43954,763920,-91.98849,44,4,5,51,4,3,76,3,9,91,9,8,18-3645-49580,15-5703-56992
NA,444549,50.23158,763920,-92.91464,44,4,5,50,2,3,76,3,9,92,9,1,18-3645-49580,15-5060-55643
NA,444549,51.39459,763920,-92.99692,44,4,5,51,3,9,76,3,9,92,9,9,18-3645-49580,15-5001-56935
NA,444549,49.66803,763920,-91.95766,44,4,5,49,6,6,76,3,9,91,9,5,18-3645-49580,15-5752-55022
NA,444549,50.04994,763920,-94.11017,44,4,5,50,0,4,76,3,9,94,1,1,18-3645-49580,15-4205-55446
NA,444549,50.42502,763920,-94.68222,44,4,5,50,4,2,76,3,9,94,6,8,18-3645-49580,15-3805-55872
NA,444549,49.04998,763920,-92.1326,44,4,5,49,0,4,76,3,9,92,1,3,18-3645-49580,15-5634-54332
NA,444549,49.47489,763920,-93.8864,44,4,5,49,4,7,76,3,9,93,8,8,18-3645-49580,15-4356-54806
NA,444549,49.31937,763920,-92.05985,44,4,5,49,3,1,76,3,9,92,0,5,18-3645-49580,15-5684-54631
NA,444549,49.0399,763920,-92.30277,44,4,5,49,0,3,76,3,9,92,3,0,18-3645-49580,15-5510-54322
NA,444549,50.02724,763920,-89.98958,44,4,5,50,0,2,76,3,9,89,9,8,18-3645-49580,16-2858-55459
NA,444549,48.68681,763920,-88.92751,44,4,5,48,6,8,76,3,9,88,9,2,18-3645-49580,16-3582-53944
NA,444549,49.84691,763920,-90.27474,44,4,5,49,8,4,76,3,9,90,2,7,18-3645-49580,15-6959-55251
NA,444549,48.7435,763920,-90.60175,44,4,5,48,7,4,76,3,9,90,6,0,18-3645-49580,15-6763-54017
NA,444549,48.72577,763920,-88.25103,44,4,5,48,7,2,76,3,9,88,2,5,18-3645-49580,16-4080-53975
NA,444549,48.66914,763920,-88.99708,44,4,5,48,6,6,76,3,9,88,9,9,18-3645-49580,16-3530-53926
NA,444549,49.33108,763920,-89.98319,44,4,5,49,3,3,76,3,9,89,9,8,18-3645-49580,16-2832-54685
NA,444549,45.51274,763920,-80.08817,44,4,5,45,5,1,76,3,9,80,0,8,18-3645-49580,17-5717-50405
NA,444549,44.47321,763920,-78.41617,44,4,5,44,4,7,76,3,9,78,4,1,18-3645-49580,17-7055-49277
NA,444549,44.91805,763920,-77.19745,44,4,5,44,9,1,76,3,9,77,1,9,18-3645-49580,18-3267-49749
NA,444858,53.9739,773541,-86.25172,44,4,8,53,9,7,77,3,5,86,2,5,18-2948-49656,16-5494-59810
NA,444858,49.90421,773541,-80.03334,44,4,8,49,9,0,77,3,5,80,0,3,18-2948-49656,17-5694-55282
NA,444858,49.77105,773541,-81.03836,44,4,8,49,7,7,77,3,5,81,0,3,18-2948-49656,17-4972-55128
NA,444858,49.33749,773541,-81.58852,44,4,8,49,3,3,77,3,5,81,5,8,18-2948-49656,17-4572-54649
NA,444858,49.74688,773541,-80.71109,44,4,8,49,7,4,77,3,5,80,7,1,18-2948-49656,17-5208-55103
NA,444858,48.46914,773541,-82.56376,44,4,8,48,4,6,77,3,5,82,5,6,18-2948-49656,17-3844-53694
NA,444858,47.73454,773541,-82.85545,44,4,8,47,7,3,77,3,5,82,8,5,18-2948-49656,17-3609-52882
NA,444858,47.33267,773541,-84.38602,44,4,8,47,3,3,77,3,5,84,3,8,18-2948-49656,16-6975-52452
NA,444858,46.85428,773541,-83.03,44,4,8,46,8,5,77,3,5,83,0,3,18-2948-49656,17-3453-51907
NA,444858,46.94007,773541,-81.21003,44,4,8,46,9,4,77,3,5,81,2,1,18-2948-49656,17-4840-51983
NA,444858,51.14351,773541,-87.96643,44,4,8,51,1,4,77,3,5,87,9,6,18-2948-49656,16-4324-56660
NA,444858,53.13145,773541,-88.30604,44,4,8,53,1,3,77,3,5,88,3,0,18-2948-49656,16-4137-58866
