Cycle,FMZ,Lake Name,waterbodyID,Latitude,Longitude,secchiDepth,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),NNTKUR (ug/L),TDP
3,6,"des Mille Lacs, La.",15-6827-54135,48.87653,-90.51282,1.5,97.599,6.95,49.299,17.6,5.62,1.75,1.85,0.51,2.149,0.85,2.14,480,4.139,13.6,58,10,531,39.899
3,6,Disraeli L.,16-3551-54440,49.13422,-88.982,5.2,25,7.679,164,76.299,21.3,6.7,1.5,0.88,0.69,5.25,5.5,30,16.399,7.2,34,34,268,16.5
3,6,Dog L.,16-3132-54041,48.77812,-89.51281,3.2,76,7.059,62.799,25.3,7.7,2.48,1.22,0.64,0.73,1.85,3.819,150,6.08,11.8,10,220,336,7.099
3,6,Eileen L.,16-3589-54402,49.1049,-88.94168,2.5,61.399,7.57,130,46.399,17.1,4.259,2.319,0.57,2.049,12.199,4.639,80,10.1,10.3,46,8,350,14.9
3,6,Elbow L.,16-4433-55531,50.1298,-87.7934,2,98.099,7.129,97.4,46.7,14.699,3.21,0.46,0.46,0.33,0.6,1.94,100,11.199,15.699,12,60,452,14.699
3,6,Empire L.,15-6979-55108,49.71999,-90.24726,2,55.1,6.82,30.1,12.1,3.54,1.01,0.85,0.565,0.25,0.85,2.319,230,3.02,8.199,24,62,418,11.5
3,6,Fallingsnow L.,16-2930-53355,48.14185,-89.7849,5.8,6.99,6.839,40.399,13.199,4.059,1.49,0.975,0.615,0.25,4.25,2.08,20,3.56,3,20,40,152,6
3,6,Frazer L.,16-3884-54562,49.24882,-88.52882,3.7,22.1,7.219,75.599,35.2,9.779,2.54,1.61,0.405,1.02,1.35,3.12,80,8.24,6.099,16,26,321,10.9
3,6,Greenwater L.,15-6904-53837,48.57454,-90.42999,6.8,12.8,7.009,62.6,27.199,8.74,1.659,0.84,0.495,0.19,2.799,2.319,10,6.599,4.5,10,40,214,5.5
3,6,Greenwich L.,16-3638-54070,48.80501,-88.85841,2.5,54.899,6.71,27,8.529,2.859,1.189,0.615,0.295,0.24,1.55,2.52,80,2.14,8.699,8,206,280,5.5
3,6,Grouse L.,15-6812-53794,48.54321,-90.54489,5,8.349,6.849,44.6,16.899,5.719,1.24,0.755,0.44,0.27,3.1,0.84,10,4.379,4,14,28,250,7.799
3,6,Holinshead L.,16-3069-55034,49.65403,-89.68153,1.6,83.2,6.9,37.2,15.199,5.16,1.47,0.87,0.535,0.19,0.85,3.22,410,3.56,11.3,20,88,361,12.8
3,6,Holly L.,15-7111-54802,49.43642,-90.08177,2.5,33.5,6.83,28.199,11.1,3.24,1.05,0.71,0.34,0.19,1,2.16,80,2.779,6.599,42,4,308,8.5
3,6,Huronian L.,15-6641-53950,48.68758,-90.77235,4.6,13,6.509,50.1,5.41,2,0.692,5.78,0.42,9.08,1.649,0.6,40,1.7,4.099,16,10,250,6
3,6,Icarus L.,15-6814-53436,48.22011,-90.57186,3.6,20.3,6.83,39.6,13.8,4.639,1.389,0.92,0.415,0.63,1.85,1.439,50,3.6,7,20,64,319,9.8
3,6,Jolly L.,16-3207-54488,49.16785,-89.45932,1.8,67.4,7.08,62.1,28.199,9.199,1.87,0.835,0.38,0.26,1.35,3.819,160,6.54,10.5,16,84,438,14.8
3,6,Kamikau L.,15-6986-53540,48.30997,-90.3213,3.1,23.399,6.69,25.5,8.419,2.54,0.908,0.84,0.3,0.39,1.35,1.399,130,2.419,6.299,22,52,299,5.599
3,6,Kashabowie L.,15-6913-53983,48.71886,-90.39423,2.7,43.399,6.94,43.1,17.899,5.04,1.75,0.935,0.605,0.2,1.75,3.439,140,4.2,7.9,28,34,325,11
3,6,Kearns L.,15-7163-54881,49.50753,-90.01676,2.1,52.5,6.94,48.1,21.3,6.36,1.679,0.88,0.645,0.17,1.2,3.279,160,5.16,8.4,30,36,333,13.6
3,6,Lost L.,16-4080-53975,48.72577,-88.25103,2.2,57.6,7.019,60.899,25.199,6.96,2.71,1.57,0.235,1.169,1.6,2.439,170,5.9,10.3,16,84,368,10.4
3,6,Maggotte L.,16-3237-55525,50.10119,-89.46517,1.9,93.299,6.559,22.399,7.719,2.66,0.862,0.87,0.445,0.21,0.8,3.02,500,1.94,11.199,14,102,339,11.199
3,6,Mowe L.,15-6672-53552,48.33174,-90.74281,3.4,23.699,6.839,41.5,15.9,5.58,1.22,0.85,0.36,0.19,2.35,1.36,40,3.94,7,16,36,293,10.699
3,6,Muskrat L.,16-3593-54568,49.25292,-88.94318,1.5,71.099,7.15,73.4,31.1,7.44,2.64,3.49,0.46,2.189,1,5.4,490,7.28,10.4,44,46,591,41.399
3,6,Northern Light L.,15-6723-53466,48.24446,-90.6759,1.9,68.7,6.75,34.2,11.3,4.12,1.36,0.94,0.325,0.42,1.399,2.779,200,2.94,11,12,114,374,13.199
3,6,Obonga L.,16-3346-55390,49.97411,-89.3113,3.2,45,7.009,52,22.3,7.219,1.75,0.83,0.525,0.27,1.149,3.359,120,4.82,7.799,10,112,247,6.2
3,6,Pakashkan L.,15-6981-54703,49.39128,-90.27892,2.7,40.5,7.11,60.899,28.3,7.879,2.029,1.04,0.8,0.15,1.2,4.679,220,6.78,5.9,36,64,253,9.5
3,6,Purdom L.,16-3964-54451,49.15261,-88.4217,2.1,64.2,7.04,53.1,23.199,6.74,2.16,0.885,0.47,0.36,1.649,2.839,120,5.419,10.1,16,76,382,12.5
3,6,Randolph L.,16-3610-55699,50.27741,-88.96094,3.4,34,7,84.2,35.2,11.699,2.459,2.12,1.09,2.12,1.6,4.44,140,8.5,4.799,12,86,165,7.099
3,6,Rudge L.,15-6659-53963,48.69703,-90.73502,4.2,10.9,6.58,37.2,6.809,2.12,0.732,3.24,0.395,4.839,1.649,0.76,30,1.96,3.899,8,2,237,6.599
