lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Barr,15-5758-54346,490341,915744,49,0,3,91,5,7,Barr,NA,Barr,FALSE,1,
Barr,17-3304-51731,464130,831303,46,4,1,83,1,3,Barr,NA,Barr,FALSE,1,
Barr,17-5318-52534,472608,803443,47,2,6,80,3,4,Barr,NA,Barr,FALSE,1,
Barrel,15-6065-55009,493913,913127,49,3,9,91,3,1,Barrel,NA,Barrel,FALSE,1,
Barriers,17-4453-53785,483332,814429,48,3,3,81,4,4,Barriers,NA,Barriers,FALSE,1,
Barrington,15-6937-55721,501616,901657,50,1,6,90,1,6,Barrington,NA,Barrington,FALSE,1,
Barron,18-2703-50825,455136,775732,45,5,1,77,5,7,Barron,NA,Barron,FALSE,1,
Barrons,17-5990-49647,444951,794453,44,4,9,79,4,4,Barrons,NA,Barrons,FALSE,1,
Barry,18-3625-50105,451411,764505,45,1,4,76,4,5,Barry,NA,Barry,FALSE,1,
Bart,15-5973-53397,481219,914124,48,1,2,91,4,1,Bart,NA,Bart,FALSE,1,
Barter,17-5674-52374,471720,800631,47,1,7,80,0,6,Barter,NA,Barter,FALSE,1,
Bartle,17-5878-52610,472955,795004,47,2,9,79,5,0,Bartle,NA,Bartle,FALSE,1,
Bartley,15-4633-54470,491036,933013,49,1,0,93,3,0,Bartley,NA,Bartley,FALSE,1,
Bartley,17-4616-50067,451253,812920,45,1,2,81,2,9,Bartley,NA,Bartley,FALSE,1,
Barton,15-4272-57657,520222,940343,52,0,2,94,0,3,Barton,NA,Barton,FALSE,1,
Bartraw,18-3657-50045,451058,764233,45,1,0,76,4,2,Bartraw,NA,Bartraw,FALSE,1,
Barty,17-3653-52920,474609,824751,47,4,6,82,4,7,Barty,NA,Barty,FALSE,1,
Basin,18-2827-50683,454411,774734,45,4,4,77,4,7,Basin,NA,Basin,FALSE,1,
Basin,18-4219-49285,443027,755857,44,3,0,75,5,8,Basin,NA,Basin,FALSE,1,
Basket,15-5711-55030,494038,920052,49,4,0,92,0,0,Basket,NA,Basket,FALSE,1,
Bass,16-3722-53905,483924,884408,48,3,9,88,4,4,Bass,NA,Bass,FALSE,1,
Bass,17-4719-52331,NA,NA,NA,NA,NA,NA,NA,NA,Bass,NA,Bass,FALSE,1,
Bass,17-3536-51201,461316,825353,46,1,3,82,5,3,Bass,NA,Bass,FALSE,1,
Bass,17-5927-51081,460721,794759,46,0,7,79,4,7,Bass,NA,Bass,FALSE,1,
Bass,17-5968-52457,472133,794304,47,2,1,79,4,3,Bass,NA,Bass,FALSE,1,
Bass,17-6416-49700,445218,791229,44,5,2,79,1,2,Bass,NA,Bass,FALSE,1,
Bass,17-6024-49956,450629,794154,45,0,6,79,4,1,Bass,NA,Bass,FALSE,1,
Bass,17-6953-49496,444029,783209,44,4,0,78,3,2,Bass,NA,Bass,FALSE,1,
Bass,18-4151-49355,443412,760409,44,3,4,76,0,4,Bass,NA,Bass,FALSE,1,
Bass,18-4096-49632,444905,760837,44,4,9,76,0,8,Bass,NA,Bass,FALSE,1,
Bass,18-3680-49300,443047,763939,44,3,0,76,3,9,Bass,NA,Bass,FALSE,1,
Bass,18-3580-49555,NA,NA,NA,NA,NA,NA,NA,NA,Bass,NA,Bass,FALSE,1,
Bass,17-6187-49397,443609,793016,44,3,6,79,3,0,Bass,NA,Bass,FALSE,1,
Bass,17-5001-49504,444232,805954,44,4,2,80,5,9,Bass,NA,Bass,FALSE,1,
Basshaunt,17-6994-49995,450723,782751,45,0,7,78,2,7,Basshaunt,NA,Basshaunt,FALSE,1,
Basswood,17-3164-51328,NA,NA,NA,NA,NA,NA,NA,NA,Basswood,NA,Basswood,FALSE,1,
Bastian,17-5302-53228,480336,803543,48,0,3,80,3,5,Bastian,NA,Bastian,FALSE,1,
Bat,15-4855-54344,490353,931156,49,0,3,93,1,1,Bat,NA,Bat,FALSE,1,
Bat,16-3811-54060,484751,883709,48,4,7,88,3,7,Bat,NA,Bat,FALSE,1,
Bat,17-6861-50020,450855,783758,45,0,8,78,3,7,Bat,NA,Bat,FALSE,1,
Bat,17-5777-50436,453237,800015,45,3,2,80,0,0,Bat,NA,Bat,FALSE,1,
Batchewaung,15-6103-53911,483956,913009,48,3,9,91,3,0,Batchewaung,NA,Batchewaung,FALSE,1,
Batelle,18-2768-49868,450005,774956,45,0,0,77,4,9,Batelle,NA,Batelle,FALSE,1,
Bateman,17-5673-54714,492336,800423,49,2,3,80,0,4,Bateman,NA,Bateman,FALSE,1,
Batise,16-5928-55145,494641,854238,49,4,6,85,4,2,Batise,NA,Batise,FALSE,1,
Battery,18-3614-50099,451351,764557,45,1,3,76,4,5,Battery,NA,Battery,FALSE,1,
Batwing,15-7091-53689,482624,901022,48,2,6,90,1,0,Batwing,NA,Batwing,FALSE,1,
Baumheur,18-2665-49921,450245,775753,45,0,2,77,5,7,Baumheur,NA,Baumheur,FALSE,1,
Bawden,15-6011-55383,495926,913522,49,5,9,91,3,5,Bawden,NA,Bawden,FALSE,1,
Bawlb,15-4639-56874,512019,933108,51,2,0,93,3,1,Bawlb,NA,Bawlb,FALSE,1,
Baxter,18-3890-49915,450412,762434,45,0,4,76,2,4,Baxter,NA,Baxter,FALSE,1,
Baxter,17-5986-49701,445246,794506,44,5,2,79,4,5,Baxter,NA,Baxter,FALSE,1,
Bay,17-4043-54953,493616,821929,49,3,6,82,1,9,Bay,NA,Bay,FALSE,1,
Bay,17-3525-51431,462538,825511,46,2,5,82,5,5,Bay,NA,Bay,FALSE,1,
Bay,17-5880-52436,472030,795007,47,2,0,79,5,0,Bay,NA,Bay,FALSE,1,
Bay,18-2749-49893,450125,775124,45,0,1,77,5,1,Bay,NA,Bay,FALSE,1,
Bay,17-6400-50405,453020,791229,45,3,0,79,1,2,Bay,NA,Bay,FALSE,1,
Bayfield,16-6506-54345,490250,845618,49,0,2,84,5,6,Bayfield,NA,Bayfield,FALSE,1,
Bayly,17-3810-52923,474630,823517,47,4,6,82,3,5,Bayly,NA,Bayly,FALSE,1,
Bayly,17-5831-55590,501044,795009,50,1,0,79,5,0,Bayly,NA,Bayly,FALSE,1,
Bayview,17-3398-51669,463819,830534,46,3,8,83,0,5,Bayview,NA,Bayview,FALSE,1,
Bea,17-5840-53551,482044,795157,48,2,0,79,5,1,Bea,NA,Bea,FALSE,1,
Beach,15-4035-55347,495731,942042,49,5,7,94,2,0,Beach,NA,Beach,FALSE,1,
Beach,17-5919-51763,464410,794747,46,4,4,79,4,7,Beach,NA,Beach,FALSE,1,
Beak,15-5542-54588,491653,921517,49,1,6,92,1,5,Beak,NA,Beak,FALSE,1,
Beak,17-3370-52303,471227,830908,47,1,2,83,0,9,Beak,NA,Beak,FALSE,1,
Beamish,15-3670-56298,504823,945317,50,4,8,94,5,3,Beamish,NA,Beamish,FALSE,1,
Bean,17-4427-53620,482438,814630,48,2,4,81,4,6,Bean,NA,Bean,FALSE,1,
Beanpole,17-7051-50159,451609,782310,45,1,6,78,2,3,Beanpole,NA,Beanpole,FALSE,1,
Bear,15-5120-56619,510638,924944,51,0,6,92,4,9,Bear,NA,Bear,FALSE,1,
Bear,17-4790-54502,491223,811716,49,1,2,81,1,7,Bear,NA,Bear,FALSE,1,
Bear,17-6016-53317,480757,793804,48,0,7,79,3,8,Bear,NA,Bear,FALSE,1,
Bear,17-4652-51149,461121,812702,46,1,1,81,2,7,Bear,NA,Bear,FALSE,1,
Bear,17-3921-51464,462752,822419,46,2,7,82,2,4,Bear,NA,Bear,FALSE,1,
Bear,17-6069-51648,463749,793611,46,3,7,79,3,6,Bear,NA,Bear,FALSE,1,
Bear,17-6796-50231,452026,784229,45,2,0,78,4,2,Bear,NA,Bear,FALSE,1,
Bear,17-6106-50327,452629,793509,45,2,6,79,3,5,Bear,NA,Bear,FALSE,1,
Bear,18-2734-50445,453108,775403,45,3,1,77,5,4,Bear,NA,Bear,FALSE,1,
Bear,18-3808-49278,442945,762958,44,2,9,76,2,9,Bear,NA,Bear,FALSE,1,
Bear,18-3820-49351,443343,762910,44,3,3,76,2,9,Bear,NA,Bear,FALSE,1,
Bear,18-3471-49404,443610,765535,44,3,6,76,5,5,Bear,NA,Bear,FALSE,1,
Bearhead,17-3479-51299,461826,825832,46,1,8,82,5,8,Bearhead,NA,Bearhead,FALSE,1,
Bearpad,16-3086-53259,480333,893408,48,0,3,89,3,4,Bearpad,NA,Bearpad,FALSE,1,
Bearpaw,15-5054-54398,490646,925532,49,0,6,92,5,5,Bearpaw,NA,Bearpaw,FALSE,1,
Bearpelt,15-5698-53699,482850,920318,48,2,8,92,0,3,Bearpelt,NA,Bearpelt,FALSE,1,
Bearshead,17-5924-49728,445418,794945,44,5,4,79,4,9,Bearshead,NA,Bearshead,FALSE,1,
Bearskin,15-5863-59557,534440,914130,53,4,4,91,4,1,Bearskin,NA,Bearskin,FALSE,1,
Beast,17-6701-50254,452147,784941,45,2,1,78,4,9,Beast,NA,Beast,FALSE,1,
Beaton,16-6613-54155,485225,844800,48,5,2,84,4,8,Beaton,NA,Beaton,FALSE,1,
Beattie,17-5205-53469,481637,804325,48,1,6,80,4,3,Beattie,NA,Beattie,FALSE,1,
Beattie,17-4790-49639,444949,811556,44,4,9,81,1,5,Beattie,NA,Beattie,FALSE,1,
Beatty,16-4566-55070,494257,873607,49,4,2,87,3,6,Beatty,NA,Beatty,FALSE,1,
Beaubien,15-4225-55220,495051,940443,49,5,0,94,0,4,Beaubien,NA,Beaubien,FALSE,1,
Beaucage,17-4347-53404,481255,815244,48,1,2,81,5,2,Beaucage,NA,Beaucage,FALSE,1,
Beaudin,17-5148-53175,480047,804805,48,0,0,80,4,8,Beaudin,NA,Beaudin,FALSE,1,
Beautiful,17-6305-50843,455408,791905,45,5,4,79,1,9,Beautiful,NA,Beautiful,FALSE,1,
Beauty,15-4119-55701,501644,941411,50,1,6,94,1,4,Beauty,NA,Beauty,FALSE,1,
Beauty,17-5305-52643,473200,803543,47,3,2,80,3,5,Beauty,NA,Beauty,FALSE,1,
Beaver,15-5158-55235,495158,924649,49,5,1,92,4,6,Beaver,NA,Beaver,FALSE,1,
Beaver,17-6015-53337,480903,793805,48,0,9,79,3,8,Beaver,NA,Beaver,FALSE,1,
Beaver,17-5332-53060,475431,803320,47,5,4,80,3,3,Beaver,NA,Beaver,FALSE,1,
Beaver,17-5353-53360,481041,803131,48,1,0,80,3,1,Beaver,NA,Beaver,FALSE,1,
Beaver,17-4767-53560,NA,NA,NA,NA,NA,NA,NA,NA,Beaver,NA,Beaver,FALSE,1,
Beaver,17-3663-51518,463031,824432,46,3,0,82,4,4,Beaver,NA,Beaver,FALSE,1,
Beaver,17-7149-49577,444433,781710,44,4,4,78,1,7,Beaver,NA,Beaver,FALSE,1,
Beaver,17-5557-50843,455445,801656,45,5,4,80,1,6,Beaver,NA,Beaver,FALSE,1,
Beaver,17-5355-50876,455633,803230,45,5,6,80,3,2,Beaver,NA,Beaver,FALSE,1,
Beaver,17-5990-50532,453739,794350,45,3,7,79,4,3,Beaver,NA,Beaver,FALSE,1,
Beaver,18-2773-51070,460455,775248,46,0,4,77,5,2,Beaver,NA,Beaver,FALSE,1,
Beaver,18-3390-49301,443030,770133,44,3,0,77,0,1,Beaver,NA,Beaver,FALSE,1,
Beaver,17-6250-49603,444713,792512,44,4,7,79,2,5,Beaver,NA,Beaver,FALSE,1,
Beaverdam,18-2926-50604,454006,773947,45,4,0,77,3,9,Beaverdam,NA,Beaverdam,FALSE,1,
Beaverhouse,15-4694-54908,493415,932522,49,3,4,93,2,5,Beaverhouse,NA,Beaverhouse,FALSE,1,
Beaverhouse,15-5662-53769,483236,920609,48,3,2,92,0,6,Beaverhouse,NA,Beaverhouse,FALSE,1,
Beaverhouse,17-5948-53363,481031,794330,48,1,0,79,4,3,Beaverhouse,NA,Beaverhouse,FALSE,1,
Beaverlodge,16-3456-53896,NA,NA,NA,NA,NA,NA,NA,NA,Beaverlodge,NA,Beaverlodge,FALSE,1,
Beaverly,17-6664-50957,455949,785106,45,5,9,78,5,1,Beaverly,NA,Beaverly,FALSE,1,
Beaverpond,16-4488-55061,494225,874236,49,4,2,87,4,2,Beaverpond,NA,Beaverpond,FALSE,1,
Beavertrap,16-4668-54292,490059,872717,49,0,0,87,2,7,Beavertrap,NA,Beavertrap,FALSE,1,
Beavertrap,16-6618-54353,490303,844709,49,0,3,84,4,7,Beavertrap,NA,Beavertrap,FALSE,1,
Beckett,17-3929-52673,473308,822524,47,3,3,82,2,5,Beckett,NA,Beckett,FALSE,1,
Beckham,17-4119-53209,480216,821056,48,0,2,82,1,0,Beckham,NA,Beckham,FALSE,1,
Bedivere,15-6578-54141,485143,905057,48,5,1,90,5,0,Bedivere,NA,Bedivere,FALSE,1,
Bee,15-4406-55215,495040,934936,49,5,0,93,4,9,Bee,NA,Bee,FALSE,1,
Bee,15-3553-56171,504123,950256,50,4,1,95,0,2,Bee,NA,Bee,FALSE,1,
Beech,17-6815-49939,450436,784140,45,0,4,78,4,1,Beech,NA,Beech,FALSE,1,
Beeches,18-3042-50054,451038,772932,45,1,0,77,2,9,Beeches,NA,Beeches,FALSE,1,
Beechnut,18-3025-50689,454451,773221,45,4,4,77,3,2,Beechnut,NA,Beechnut,FALSE,1,
Beer,17-6729-49777,445602,784833,44,5,6,78,4,8,Beer,NA,Beer,FALSE,1,
Beerman,18-3016-51003,460145,773348,46,0,1,77,3,3,Beerman,NA,Beerman,FALSE,1,
Beilhartz,17-3155-51629,463545,832431,46,3,5,83,2,4,Beilhartz,NA,Beilhartz,FALSE,1,
Bejeau,17-4875-50982,460221,810941,46,0,2,81,0,9,Bejeau,NA,Bejeau,FALSE,1,
Beland,17-6155-52122,470318,792844,47,0,3,79,2,8,Beland,NA,Beland,FALSE,1,
Belanger,16-6749-54444,490747,843608,49,0,7,84,3,6,Belanger,NA,Belanger,FALSE,1,
Belanger,17-5896-51866,464944,794932,46,4,9,79,4,9,Belanger,NA,Belanger,FALSE,1,
Belanger,16-6613-52771,473746,845111,47,3,7,84,5,1,Belanger,NA,Belanger,FALSE,1,
Belanger,18-3622-50097,451346,764518,45,1,3,76,4,5,Belanger,NA,Belanger,FALSE,1,
Bell,15-4845-55153,494730,931254,49,4,7,93,1,2,Bell,NA,Bell,FALSE,1,
Bell,15-6500-55194,494838,905454,49,4,8,90,5,4,Bell,NA,Bell,FALSE,1,
Bell,17-3225-55321,495502,832823,49,5,5,83,2,8,Bell,NA,Bell,FALSE,1,
Bell,17-3942-51575,463353,822252,46,3,3,82,2,2,Bell,NA,Bell,FALSE,1,
Bell,17-4836-51079,460736,811246,46,0,7,81,1,2,Bell,NA,Bell,FALSE,1,
Bell,17-5816-50488,453525,795713,45,3,5,79,5,7,Bell,NA,Bell,FALSE,1,
Bell,17-5768-50298,452511,800107,45,2,5,80,0,1,Bell,NA,Bell,FALSE,1,
Bell,17-5764-50421,453149,800117,45,3,1,80,0,1,Bell,NA,Bell,FALSE,1,
Bella,17-6539-50341,452644,790155,45,2,6,79,0,1,Bella,NA,Bella,FALSE,1,
Bellamys,18-4181-49515,444250,760202,44,4,2,76,0,2,Bellamys,NA,Bellamys,FALSE,1,
Belle,15-3745-55156,494653,944434,49,4,6,94,4,4,Belle,NA,Belle,FALSE,1,
Belle,17-3787-51299,461850,823434,46,1,8,82,3,4,Belle,NA,Belle,FALSE,1,
Bells,17-6029-50505,453608,794049,45,3,6,79,4,0,Bells,NA,Bells,FALSE,1,
Bells,17-6073-48662,435634,793945,43,5,6,79,3,9,Bells,NA,Bells,FALSE,1,
Bells,17-5209-49075,441920,804416,44,1,9,80,4,4,Bells,NA,Bells,FALSE,1,
Bellsmith,16-4149-56832,511744,881314,51,1,7,88,1,3,Bellsmith,NA,Bellsmith,FALSE,1,
Belmont,15-5830-54638,491923,915127,49,1,9,91,5,1,Belmont,NA,Belmont,FALSE,1,
Belmont,18-2756-49309,442954,774923,44,2,9,77,4,9,Belmont,NA,Belmont,FALSE,1,
Beloporine,18-2654-49292,442847,775700,44,2,8,77,5,7,Beloporine,NA,Beloporine,FALSE,1,
Belwood,17-5535-48461,434605,802009,43,4,6,80,2,0,"Belwood,",NA,"Belwood,",FALSE,1,
Bemar,15-6581-53550,481949,905202,48,1,9,90,5,2,Bemar,NA,Bemar,FALSE,1,
Ben,17-6418-49723,445330,791217,44,5,3,79,1,2,Ben,NA,Ben,FALSE,1,
Bending,15-5627-54632,491913,920815,49,1,9,92,0,8,Bending,NA,Bending,FALSE,1,
Benelux,15-6304-54409,490632,911248,49,0,6,91,1,2,Benelux,NA,Benelux,FALSE,1,
Benner,17-5288-52236,471003,803714,47,1,0,80,3,7,Benner,NA,Benner,FALSE,1,
Bennet,17-4063-55174,494815,821808,49,4,8,82,1,8,Bennet,NA,Bennet,FALSE,1,
Bennet,17-4715-51939,465401,812226,46,5,4,81,2,2,Bennet,NA,Bennet,FALSE,1,
Bennett,15-5539-54017,484605,921558,48,4,6,92,1,5,Bennett,NA,Bennett,FALSE,1,
Bennett,18-2910-50253,452107,774007,45,2,1,77,4,0,Bennett,NA,Bennett,FALSE,1,
Bennett,18-3844-49744,445456,762754,44,5,4,76,2,7,Bennett,NA,Bennett,FALSE,1,
Bennetts,18-3595-50616,454145,764814,45,4,1,76,4,8,Bennetts,NA,Bennetts,FALSE,1,
Benoir,17-7235-50066,451047,780918,45,1,0,78,0,9,Benoir,NA,Benoir,FALSE,1,
Benson,17-5932-53140,475828,794504,47,5,8,79,4,5,Benson,NA,Benson,FALSE,1,
Benson,17-4610-51676,463947,813034,46,3,9,81,3,0,Benson,NA,Benson,FALSE,1,
Benson,17-6511-50304,452446,790406,45,2,4,79,0,4,Benson,NA,Benson,FALSE,1,
Benson,18-3926-49380,443522,762113,44,3,5,76,2,1,Benson,NA,Benson,FALSE,1,
Benstewart,15-5008-54467,491031,925920,49,1,0,92,5,9,Benstewart,NA,Benstewart,FALSE,1,
Bent,15-6370-55651,501328,910446,50,1,3,91,0,4,Bent,NA,Bent,FALSE,1,
Bentley,17-4942-54554,491512,810446,49,1,5,81,0,4,Bentley,NA,Bentley,FALSE,1,
Bentpine,15-5885-53684,482753,914808,48,2,7,91,4,8,Bentpine,NA,Bentpine,FALSE,1,
Bentshoes,17-6631-49896,450235,785544,45,0,2,78,5,5,Bentshoes,NA,Bentshoes,FALSE,1,
Berens,15-4525-57350,514558,934116,51,4,5,93,4,1,Berens,NA,Berens,FALSE,1,
Berford,17-4859-49615,444832,811043,44,4,8,81,1,0,Berford,NA,Berford,FALSE,1,
Bergeron,17-5557-52556,472713,801538,47,2,7,80,1,5,Bergeron,NA,Bergeron,FALSE,1,
Berglund,15-5982-54945,NA,NA,NA,NA,NA,NA,NA,NA,Berglund,NA,Berglund,FALSE,1,
Berm,18-2868-50831,455213,774448,45,5,2,77,4,4,Berm,NA,Berm,FALSE,1,
Bernadine,15-5505-54383,490550,921827,49,0,5,92,1,8,Bernadine,NA,Bernadine,FALSE,1,
Bernard,17-3338-51405,462358,830941,46,2,3,83,0,9,Bernard,NA,Bernard,FALSE,1,
Bernard,17-6257-50660,454417,792303,45,4,4,79,2,3,Bernard,NA,Bernard,FALSE,1,
Bernard,17-7247-51233,461341,780510,46,1,3,78,0,5,Bernard,NA,Bernard,FALSE,1,
Bernice,17-4368-52667,473309,815025,47,3,3,81,5,0,Bernice,NA,Bernice,FALSE,1,
Berry,15-4302-54803,492825,935749,49,2,8,93,5,7,Berry,NA,Berry,FALSE,1,
Berry,16-3137-55870,502426,893718,50,2,4,89,3,7,Berry,NA,Berry,FALSE,1,
Berry,16-7071-52893,474333,841419,47,4,3,84,1,4,Berry,NA,Berry,FALSE,1,
Bert,15-4283-55451,500321,940004,50,0,3,94,0,0,Bert,NA,Bert,FALSE,1,
Bertha,15-5495-56796,511603,921726,51,1,6,92,1,7,Bertha,NA,Bertha,FALSE,1,
Berube,17-5520-53391,481217,801801,48,1,2,80,1,8,Berube,NA,Berube,FALSE,1,
Bess,17-4982-53049,475359,810127,47,5,3,81,0,1,Bess,NA,Bess,FALSE,1,
Bessie,16-5582-55286,495431,861122,49,5,4,86,1,1,Bessie,NA,Bessie,FALSE,1,
Best,17-5881-52330,471446,795009,47,1,4,79,5,0,Best,NA,Best,FALSE,1,
Bester,17-4752-48922,NA,NA,NA,NA,NA,NA,NA,NA,Bester,NA,Bester,FALSE,1,
Beteau,16-4878-57668,520313,871043,52,0,3,87,1,0,Beteau,NA,Beteau,FALSE,1,
Bethune,15-4528-54361,490440,933848,49,0,4,93,3,8,Bethune,NA,Bethune,FALSE,1,
Bethune,15-6049-54231,485714,913400,48,5,7,91,3,4,Bethune,NA,Bethune,FALSE,1,
Betts,17-4786-52186,470722,811657,47,0,7,81,1,6,Betts,NA,Betts,FALSE,1,
Betty,16-5180-55726,501826,864452,50,1,8,86,4,4,Betty,NA,Betty,FALSE,1,
Betty,17-3587-52891,474430,825303,47,4,4,82,5,3,Betty,NA,Betty,FALSE,1,
Beulah,17-4700-52347,471601,812347,47,1,6,81,2,3,Beulah,NA,Beulah,FALSE,1,
Bevan,17-6358-50468,453348,791535,45,3,3,79,1,5,Bevan,NA,Bevan,FALSE,1,
Bevans,17-3657-51687,463938,824521,46,3,9,82,4,5,Bevans,NA,Bevans,FALSE,1,
Beynon,15-5616-54111,485105,920938,48,5,1,92,0,9,Beynon,NA,Beynon,FALSE,1,
Beyond,17-3675-51848,464819,824411,46,4,8,82,4,4,Beyond,NA,Beyond,FALSE,1,
Bibby,17-5024-51346,462203,805809,46,2,2,80,5,8,Bibby,NA,Bibby,FALSE,1,
Bicknell,16-5976-55211,495011,853834,49,5,0,85,3,8,Bicknell,NA,Bicknell,FALSE,1,
Bierce,17-3521-51843,464751,825615,46,4,7,82,5,6,Bierce,NA,Bierce,FALSE,1,
Big,17-3480-51543,463137,825854,46,3,1,82,5,8,Big,NA,Big,FALSE,1,
Bigford,18-3893-49960,450639,762425,45,0,6,76,2,4,Bigford,NA,Bigford,FALSE,1,
Bigfour,17-4860-52790,473958,811114,47,3,9,81,1,1,Bigfour,NA,Bigfour,FALSE,1,
Biggar,17-6610-50894,455629,785521,45,5,6,78,5,5,Biggar,NA,Biggar,FALSE,1,
Biggs,17-3735-53147,475830,824140,47,5,8,82,4,1,Biggs,NA,Biggs,FALSE,1,
Bigshell,15-4010-56940,512327,942521,51,2,3,94,2,5,Bigshell,NA,Bigshell,FALSE,1,
Bigwater,17-4792-53842,483646,811656,48,3,6,81,1,6,Bigwater,NA,Bigwater,FALSE,1,
Bigwind,17-6532-49909,450325,790315,45,0,3,79,0,3,Bigwind,NA,Bigwind,FALSE,1,
Bijou,17-3095-51641,463618,832916,46,3,6,83,2,9,Bijou,NA,Bijou,FALSE,1,
Bilkey,16-2914-55079,494121,895333,49,4,1,89,5,3,Bilkey,NA,Bilkey,FALSE,1,
Bill,15-4307-55463,500402,935805,50,0,4,93,5,8,Bill,NA,Bill,FALSE,1,
Billings,18-2753-50471,453234,775240,45,3,2,77,5,2,Billings,NA,Billings,FALSE,1,
Billings,17-7164-50182,451710,781424,45,1,7,78,1,4,Billings,NA,Billings,FALSE,1,
Billings,17-7077-49785,445554,782206,44,5,5,78,2,2,Billings,NA,Billings,FALSE,1,
Bills,17-7142-50298,452327,781551,45,2,3,78,1,5,Bills,NA,Bills,FALSE,1,
Billy,16-3795-54035,484629,883824,48,4,6,88,3,8,Billy,NA,Billy,FALSE,1,
Billy,17-4879-51089,460807,810925,46,0,8,81,0,9,Billy,NA,Billy,FALSE,1,
Billy,17-7247-50572,453801,780702,45,3,8,78,0,7,Billy,NA,Billy,FALSE,1,
Billys,17-7300-51238,461352,780103,46,1,3,78,0,1,Billys,NA,Billys,FALSE,1,
Bilton,17-3767-51706,464048,823646,46,4,0,82,3,6,Bilton,NA,Bilton,FALSE,1,
Bingle,17-5449-54228,NA,NA,NA,NA,NA,NA,NA,NA,Bingle,NA,Bingle,FALSE,1,
Bingley,18-3745-49906,450336,763540,45,0,3,76,3,5,Bingley,NA,Bingley,FALSE,1,
Bingo,15-5782-56156,504121,915336,50,4,1,91,5,3,Bingo,NA,Bingo,FALSE,1,
Binney,17-5935-53314,480750,794434,48,0,7,79,4,4,Binney,NA,Binney,FALSE,1,
Binns,17-5262-49139,442247,804017,44,2,2,80,4,0,Binns,NA,Binns,FALSE,1,
Birch,15-3954-55334,495643,942728,49,5,6,94,2,7,Birch,NA,Birch,FALSE,1,
Birch,15-5452-56951,512425,922102,51,2,4,92,2,1,Birch,NA,Birch,FALSE,1,
Birch,15-7140-53395,481029,900719,48,1,0,90,0,7,Birch,NA,Birch,FALSE,1,
Birch,17-4788-52147,470515,811647,47,0,5,81,1,6,Birch,NA,Birch,FALSE,1,
Birch,17-5255-52926,474719,803934,47,4,7,80,3,9,Birch,NA,Birch,FALSE,1,
Birch,17-5185-53522,481927,804500,48,1,9,80,4,5,Birch,NA,Birch,FALSE,1,
Birch,17-3021-51731,464103,833516,46,4,1,83,3,5,Birch,NA,Birch,FALSE,1,
Birch,17-3114-51323,461911,832657,46,1,9,83,2,6,Birch,NA,Birch,FALSE,1,
Birch,17-4246-51279,461808,815847,46,1,8,81,5,8,Birch,NA,Birch,FALSE,1,
Birch,17-5724-52079,470120,800248,47,0,1,80,0,2,Birch,NA,Birch,FALSE,1,
Birch,17-5637-50435,453237,801104,45,3,2,80,1,1,Birch,NA,Birch,FALSE,1,
Birchcliffe,17-6673-50888,455602,785030,45,5,6,78,5,0,Birchcliffe,NA,Birchcliffe,FALSE,1,
Bird,18-2733-49991,450639,775254,45,0,6,77,5,2,Bird,NA,Bird,FALSE,1,
Bird,17-6525-49895,450240,790349,45,0,2,79,0,3,Bird,NA,Bird,FALSE,1,
Biscotasi,17-4182-52388,471758,820455,47,1,7,82,0,4,Biscotasi,NA,Biscotasi,FALSE,1,
Bisect,16-3706-53956,484207,884532,48,4,2,88,4,5,Bisect,NA,Bisect,FALSE,1,
Bishops,16-3791-54110,485031,883854,48,5,0,88,3,8,Bishops,NA,Bishops,FALSE,1,
Bissett,17-7155-51073,460513,781248,46,0,5,78,1,2,Bissett,NA,Bissett,FALSE,1,
Bitstock,17-3465-51877,464937,830046,46,4,9,83,0,0,Bitstock,NA,Bitstock,FALSE,1,
Bitter,17-6904-50047,451018,783436,45,1,0,78,3,4,Bitter,NA,Bitter,FALSE,1,
Bittern,17-3334-53695,482729,831512,48,2,7,83,1,5,Bittern,NA,Bittern,FALSE,1,
Bittern,16-7035-55426,500010,840936,50,0,0,84,0,9,Bittern,NA,Bittern,FALSE,1,
Bittern,17-6327-50332,452630,791811,45,2,6,79,1,8,Bittern,NA,Bittern,FALSE,1,
Bivouac,17-6937-50230,452007,783140,45,2,0,78,3,1,Bivouac,NA,Bivouac,FALSE,1,
Black,15-4218-54877,493220,940452,49,3,2,94,0,4,Black,NA,Black,FALSE,1,
Black,17-5181-54760,492617,804500,49,2,6,80,4,5,Black,NA,Black,FALSE,1,
Black,17-4037-51455,462729,821516,46,2,7,82,1,5,Black,NA,Black,FALSE,1,
Black,16-6719-52742,473601,844247,47,3,6,84,4,2,Black,NA,Black,FALSE,1,
Black,17-6136-49838,450001,793333,45,0,0,79,3,3,Black,NA,Black,FALSE,1,
Black,17-6720-49649,444907,784930,44,4,9,78,4,9,Black,NA,Black,FALSE,1,
Black,17-7035-49895,450155,782501,45,0,1,78,2,5,Black,NA,Black,FALSE,1,
Black,17-5644-50536,453806,801025,45,3,8,80,1,0,Black,NA,Black,FALSE,1,
Black,18-3457-50171,451734,765803,45,1,7,76,5,8,Black,NA,Black,FALSE,1,
