lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Sanctuary,15-7008-54035,484515,901604,48,4,5,90,1,6,Sanctuary,NA,Sanctuary,FALSE,1,
Sand,17-4422-54658,492040,814743,49,2,0,81,4,7,Sand,NA,Sand,FALSE,1,
Sand,17-5208-55103,494448,804243,49,4,4,80,4,2,Sand,NA,Sand,FALSE,1,
Sand,17-4438-52360,471638,814437,47,1,6,81,4,4,Sand,NA,Sand,FALSE,1,
Sand,16-6531-54384,490453,845412,49,0,4,84,5,4,Sand,NA,Sand,FALSE,1,
Sand,17-6035-51061,460609,793940,46,0,6,79,3,9,Sand,NA,Sand,FALSE,1,
Sand,16-6855-52885,474331,843134,47,4,3,84,3,1,Sand,NA,Sand,FALSE,1,
Sand,17-6425-50540,453738,791019,45,3,7,79,1,0,Sand,NA,Sand,FALSE,1,
Sand,18-3087-50763,454857,772746,45,4,8,77,2,7,Sand,NA,Sand,FALSE,1,
Sand,17-6690-50017,450902,785059,45,0,9,78,5,0,Sand,NA,Sand,FALSE,1,
Sand,18-3998-49356,443406,761542,44,3,4,76,1,5,Sand,NA,Sand,FALSE,1,
Sand,18-3736-49351,NA,NA,NA,NA,NA,NA,NA,NA,Sand,NA,Sand,FALSE,1,
Sand,18-3397-49770,445549,770155,44,5,5,77,0,1,Sand,NA,Sand,FALSE,1,
Sandal,15-6295-54601,491655,911311,49,1,6,91,1,3,Sandal,NA,Sandal,FALSE,1,
Sandbank,17-3812-56626,510617,824150,51,0,6,82,4,1,Sandbank,NA,Sandbank,FALSE,1,
Sandbar,15-4662-55790,502149,932831,50,2,1,93,2,8,Sandbar,NA,Sandbar,FALSE,1,
Sandbar,15-5557-54571,491557,921403,49,1,5,92,1,4,Sandbar,NA,Sandbar,FALSE,1,
Sandbar,15-6018-54802,492805,913542,49,2,8,91,3,5,Sandbar,NA,Sandbar,FALSE,1,
Sandbar,17-4793-54516,491307,811705,49,1,3,81,1,7,Sandbar,NA,Sandbar,FALSE,1,
Sandbeach,15-5586-54227,485722,921156,48,5,7,92,1,1,Sandbeach,NA,Sandbeach,FALSE,1,
Sandfly,17-4755-51941,465407,811917,46,5,4,81,1,9,Sandfly,NA,Sandfly,FALSE,1,
Sandford,15-5955-54404,490639,914130,49,0,6,91,4,1,Sandford,NA,Sandford,FALSE,1,
Sandhill,15-4545-54478,491100,933728,49,1,1,93,3,7,Sandhill,NA,Sandhill,FALSE,1,
Sandison,16-3076-55545,500648,894128,50,0,6,89,4,1,Sandison,NA,Sandison,FALSE,1,
Sandpiper,-    -,4900,8406,49,0,0,84,0,6,Sandpiper,NA,Sandpiper,FALSE,1,
Sandplain,17-4704-52328,471459,812327,47,1,4,81,2,3,Sandplain,NA,Sandplain,FALSE,1,
Sandplains,17-5253-52631,473124,803951,47,3,1,80,3,9,Sandplains,NA,Sandplains,FALSE,1,
Sandridge,16-4676-54312,490206,872636,49,0,2,87,2,6,Sandridge,NA,Sandridge,FALSE,1,
Sandshore,17-3774-54117,485053,824016,48,5,0,82,4,0,Sandshore,NA,Sandshore,FALSE,1,
Sandspit,16-5349-54467,491026,863117,49,1,0,86,3,1,Sandspit,NA,Sandspit,FALSE,1,
Sandstone,15-7053-53459,481407,901408,48,1,4,90,1,4,Sandstone,NA,Sandstone,FALSE,1,
Sandstrum,17-4931-52639,473151,810531,47,3,1,81,0,5,Sandstrum,NA,Sandstrum,FALSE,1,
Sandy,15-3795-55160,494711,944027,49,4,7,94,4,0,Sandy,NA,Sandy,FALSE,1,
Sandy,16-7188-51682,463800,840827,46,3,8,84,0,8,Sandy,NA,Sandy,FALSE,1,
Sandy,17-4775-51044,460543,811728,46,0,5,81,1,7,Sandy,NA,Sandy,FALSE,1,
Sandy,17-7046-50398,452902,782256,45,2,9,78,2,2,Sandy,NA,Sandy,FALSE,1,
Sandy,18-2710-49510,444038,775322,44,4,0,77,5,3,Sandy,NA,Sandy,FALSE,1,
Sandy,17-7255-49893,450123,780817,45,0,1,78,0,8,Sandy,NA,Sandy,FALSE,1,
Sandy,17-7061-49353,443238,782419,44,3,2,78,2,4,Sandy,NA,Sandy,FALSE,1,
Sanford,18-3023-49779,445545,773018,44,5,5,77,3,0,Sanford,NA,Sanford,FALSE,1,
Sangster,17-5265-54655,492038,803807,49,2,0,80,3,8,Sangster,NA,Sangster,FALSE,1,
Sangster,18-3739-49372,443444,763520,44,3,4,76,3,5,Sangster,NA,Sangster,FALSE,1,
Saniga,16-6381-53703,482821,850754,48,2,8,85,0,7,Saniga,NA,Saniga,FALSE,1,
Santoy,16-5087-54120,485146,865255,48,5,1,86,5,2,Santoy,NA,Santoy,FALSE,1,
Sapawe,15-6218-54036,484631,912032,48,4,6,91,2,0,Sapawe,NA,Sapawe,FALSE,1,
Saranack,17-7178-49822,NA,NA,NA,NA,NA,NA,NA,NA,Saranack,NA,Saranack,FALSE,1,
Sargesson,17-5516-51688,464021,801932,46,4,0,80,1,9,Sargesson,NA,Sargesson,FALSE,1,
Sasaginaga,17-5981-52505,472409,794158,47,2,4,79,4,1,Sasaginaga,NA,Sasaginaga,FALSE,1,
Sashihaw,17-4363-53199,480151,815115,48,0,1,81,5,1,Sashihaw,NA,Sashihaw,FALSE,1,
