BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio
3,4,Cliff L.,15-4785-55574,3.3,2236.3,245032785.9,34.1,9.2,50.16879,-93.29998,2019,16.8,7.54,80.7,34.299,9.64,2.5,2.45,0.76,2.49,1.649,0.78,20,8.599,6.2,26,2,285,10.199,NA,NA
3,4,Cliff L.,15-4785-55574,3.3,2236.3,245032785.9,34.1,9.2,50.16879,-93.29998,NA,16.8,7.54,80.7,34.299,9.64,2.5,2.45,0.76,2.49,1.649,0.78,20,8.599,6.2,26,2,285,10.199,NA,NA
3,4,Confederation L.,15-5210-56629,5.5,2606.2,346466891.8,32.3,8.3,51.11521,-92.67556,2021,19.6,7.11,51.799,21.1,7.87,1.05,0.586,0.549,0.149,1.24,0.44,33,5.549,6.519,10,46.299,280,9.025,NA,NA
3,4,Crystal L.,15-6321-55100,1.5,115.8,2260999.97,4.6,1.9,49.72882,-91.1675,2022,128,7.059,43,16.8,6.799,1.34,0.836,0.518,0.291,0.896,2.08,171,4.2,14.6,12,30,440,11.15,NA,NA
3,4,Delaney L.,15-4250-55493,5,1278.1,292250401.4,81.4,22.8,50.09299,-94.048,2021,6.99,6.96,36.799,12.8,3.85,1.189,0.999,0.526,0.423,2.399,0.23,30,3.419,3.399,11.3,5,240,8.769,NA,NA
3,4,Eye L.,15-4642-55404,2.3,130.4,5498300.19,7.2,4.2,50.01584,-93.50594,2022,53.399,7.389,84.7,38.399,8.49,3.899,2.58,1.1,0.238,0.89,3.009,235,9.47,10.8,27.199,109,540,25.05,NA,NA
3,4,Fitchie L.,15-6742-56100,1.8,1147.7,50397597.83,19.2,4.6,50.61813,-90.53714,2019,72.2,7.44,60.299,25.5,8.619,1.78,0.81,0.495,0.78,0.75,1.24,130,5.32,11.1,32,8,358,10.3,NA,NA
3,4,Gibraltar L.,15-6378-55460,2,109.3,2223999.94,3,2,50.0521,-91.07599,2019,95.099,6.969,36.6,14.8,6,0.772,0.536,0.275,0.087,0.796,1.629,128,3.64,12.5,11.4,59.899,410,10.85,NA,NA
3,4,Gooch L.,15-6046-55042,1.5,143,2024643.07,2.8,1.4,49.69139,-91.55158,2023,127,6.99,37.7,12.199,4.78,1.429,0.876,0.761,0.262,3,1.69,193,2.6,14.199,30,73.299,530,21.5,NA,NA
3,4,Greenbush L.,15-7043-56488,2.1,2926.6,60282599.31,10,2.1,50.95093,-90.10466,2021,41.399,7.509,63.6,29.6,9.38,2.009,0.395,0.4,0.16,0.55,0.4,80,5.799,10.4,30,110,366,7.099,NA,NA
